year,name,college,position,height_in,weight_lbs,40yards,vert_leap_in,broad_jump_in,shuttle,3cone,hasstats,cmp,att,pct,yds,td,int,rate,heisman,bling,awards,allamerican,drafted
2011,taylor yates,North Carolina,QB,75.0,219,5.06,29.5,104.0,4.12,6.96,,,,,,,,,0.0,0.0,0.0,0.0,N
2006,tarvaris jackson,Alabama State,QB,74.0,226,4.7,31.5,107.0,4.38,7.4,,17.0,48.0,35.4,196.0,1.0,3.0,64.1,0.0,0.0,0.0,0.0,Y
2018,tanner lee,Nebraska,QB,76.0,218,4.98,32.0,115.0,4.41,7.0,,574.0,1040.0,55.2,6744.0,46.0,37.0,117.1,0.0,0.0,0.0,0.0,Y
2014,tajh boyd,Clemson,QB,72.63,222,4.84,30.5,104.0,4.23,7.33,,901.0,1402.0,64.3,11904.0,107.0,39.0,155.2,0.0,1.0,1.0,0.0,Y
1997,steve sarkisian,Brigham Young,QB,72.4,208,4.96,30.0,104.0,4.51,8.16,,528.0,789.0,66.9,7464.0,53.0,26.0,162.0,0.0,1.0,1.0,0.0,N
2014,stephen morris,Miami (FL),QB,73.88,213,4.63,30.0,111.0,4.49,7.36,,551.0,955.0,57.7,7896.0,49.0,30.0,137.8,0.0,0.0,0.0,0.0,N
2009,stephen mcgee,Texas A&M,QB,74.88,225,4.61,33.0,112.0,4.49,7.34,,485.0,815.0,59.5,5475.0,28.0,13.0,124.1,0.0,0.0,0.0,0.0,Y
2005,stefan lefors,Louisville,QB,72.13,208,4.61,31.0,111.0,4.09,7.03,,416.0,630.0,66.0,5853.0,38.0,13.0,159.8,0.0,1.0,1.0,0.0,Y
2000,spergon wynn,Texas State,QB,75.4,229,4.95,34.0,108.0,4.59,7.71,,,,,,,,,0.0,0.0,0.0,0.0,Y
1999,shaun king,Tulane (LA),QB,72.0,221,4.77,33.0,113.0,4.29,,,669.0,1201.0,55.7,8695.0,72.0,34.0,130.6,0.0,1.0,1.0,0.0,Y
2001,shane griggs,Idaho State,QB,75.9,199,4.84,,,,,,,,,,,,,0.0,0.0,0.0,0.0,N
1998,shane fortney,Northern Iowa,QB,73.6,225,4.72,33.5,114.0,4.3,7.74,,40.0,76.0,52.6,538.0,4.0,1.0,126.8,0.0,0.0,0.0,0.0,N
2015,shane carden,East Carolina (NC),QB,73.88,218,4.94,29.5,104.0,4.45,7.17,,1052.0,1579.0,66.6,11991.0,86.0,30.0,144.6,0.0,1.0,1.0,0.0,N
