year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasawards,allamerican,drafted
1997,tony mccombs,Eastern Kentucky,ILB,74.1,240,4.75,20,34,,,,0,0,Y
1997,keith mitchell,Texas A&M,OLB,74.5,240,4.73,22,35.5,,,,0,0,N
1997,pete monty,Wisconsin,ILB,73.9,253,4.84,26,32.5,109,4.29,7.41,0,0,Y
1997,tyrell peters,Oklahoma,ILB,72.3,230,4.73,,30.5,111,4.23,7.51,0,0,N
1997,ryan phillips,Idaho,OLB,75.9,251,,21,32,115,4.11,7.44,0,0,Y
1997,derrick rodgers,Arizona State,OLB,73.1,223,4.78,21,36.5,121,4.45,7.67,0,0,Y
1997,dwayne rudd,Alabama,OLB,73.9,242,4.65,29,39.5,115,4.23,7.21,0,0,Y
1997,matt russell,Colorado,ILB,73.5,245,4.91,13,28,104,4.19,7.39,1,1,Y
1997,twan russell,Miami (FL),OLB,73.4,230,4.83,13,34,,,,0,0,Y
1997,tarek saleh,Wisconsin,OLB,73.6,246,4.85,26,34,109,4.19,7.36,0,0,Y
1997,tim scharf,Northwestern,OLB,73.3,236,4.61,25,34,112,4.15,7.31,0,0,Y
1997,jamie sharper,Virginia,OLB,74.9,240,4.67,19,36.5,116,4.24,7.57,0,0,Y
1997,broderick simpson,Oklahoma,OLB,72.4,220,4.8,,34,110,4.49,7.83,0,0,N
1997,alshermond singleton,Temple,ILB,74.3,224,4.77,20,39.5,122,4.2,7.57,0,0,Y
1997,mark smith,Arkansas,ILB,74.8,243,4.84,15,32,112,4.11,7.29,0,0,Y
1997,dennis stallings,Illinois,ILB,72.1,234,4.71,23,32,109,4.36,7.53,0,0,Y
1997,kinnon tatum,Notre Dame,ILB,71.9,222,4.67,28,39,127,4.31,7.91,0,0,Y
1997,jared tomich,Nebraska,OLB,74.5,255,,24,,,,,0,0,Y
1997,scott von der ahe,Arizona State,ILB,71.4,251,4.84,19,31.5,116,4.49,7.74,0,0,Y
1997,ronnie ward,Kansas,ILB,72.4,233,,17,,,,,0,0,Y
1998,shawn barber,Richmond (VA),OLB,73.9,224,4.56,,37,126,4.16,7.45,0,0,Y
1998,chris bordano,Southern Methodist (TX),ILB,73.5,243,4.68,27,37,124,4.18,7.52,1,0,Y
