year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasawards,allamerican,drafted
2005,robert mccune,Louisville,ILB,72,245,4.51,34,,,,,0,0,Y
2005,lance mitchell,Oklahoma,ILB,74.1,247,4.91,15,33.5,,4.38,7.49,0,0,Y
2005,kirk morrison,San Diego State,ILB,73,235,4.69,25,,,4.31,,1,0,Y
2005,martin patterson,Texas Christian,ILB,73.5,243,4.92,21,34,110,4.2,7.31,0,0,N
2005,kenneth pettway,Grambling State (LA),OLB,75,236,4.73,22,32.5,114,4.31,7.29,0,0,Y
2005,jonathan pollard,Oregon State,OLB,73,247,4.71,21,35,116,4.07,7.41,0,0,N
2005,barrett ruud,Nebraska,ILB,74.5,241,4.76,25,34.5,108,3.94,7.22,0,0,Y
2005,adam seward,Nevada Las Vegas,ILB,74.3,248,4.61,33,36.5,120,4.11,7.16,0,0,Y
2005,lofa tatupu,Southern California,ILB,71.9,238,4.84,23,35,113,4.16,7.31,0,0,Y
2005,odell thurman,Georgia,ILB,72.1,233,4.7,23,34,113,4.28,7.47,0,0,Y
2005,cameron wake,Penn State,OLB,75,236,4.65,20,45.5,130,4.13,7.12,0,0,N
2005,rian wallace,Temple,OLB,74.3,241,4.68,10,35.5,111,3.94,7.45,0,0,Y
2005,demarcus ware,Troy (AL),OLB,76,251,4.6,27,38.5,122,4.07,6.83,1,0,Y
2005,jonathan welsh,Wisconsin,OLB,75.3,244,4.61,19,40.5,128,4.22,7.83,0,0,Y
2005,cornelius wortham,Alabama,OLB,73.4,236,4.76,22,37,106,4.38,,0,0,Y
2006,jon alston,Stanford,OLB,72.75,223,4.53,30,40,132,4.13,6.9,0,0,Y
2006,james anderson,Virginia Tech,OLB,74.75,229,4.62,,41,121,4.07,6.67,0,0,Y
2006,trent bray,Oregon State,ILB,72.63,231,4.91,18,32,109,4.41,7.15,0,0,N
2006,tim dobbins,Iowa State,ILB,73.13,246,4.61,23,35.5,110,4.39,7.25,0,0,Y
2006,keith ellison,Oregon State,OLB,73.5,235,4.83,24,32.5,115,4.16,7.22,0,0,Y
2006,omar gaither,Tennessee,OLB,73,234,4.8,23,37,116,4.28,7.31,0,0,Y
2006,chad greenway,Iowa,OLB,74.5,242,4.8,16,33.5,117,4.22,7,0,0,Y
2006,spencer havner,UCLA,ILB,75.38,242,4.71,,39,116,4.07,6.81,0,0,N
2006,aj hawk,Ohio State,OLB,73,248,4.64,24,40,115,3.96,6.82,1,1,Y
2006,abdul hodge,Iowa,ILB,72.38,236,4.82,,31,108,4.3,7.09,0,0,Y
2006,thomas howard,Texas-El Paso,OLB,75.25,239,4.46,21,39,124,4.28,6.96,0,0,Y
2006,oliver hoyte,North Carolina State,ILB,74.63,245,4.98,19,32,112,4.3,7.47,0,0,N
2006,clint ingram,Oklahoma,OLB,73.75,244,4.65,22,41,,4.1,7.12,0,0,Y
2006,dqwell jackson,Maryland,ILB,72.5,230,4.77,19,37,116,4.36,7.05,1,0,Y
2006,brandon johnson,Louisville,OLB,76.88,228,4.52,11,37,118,4.34,7.17,0,0,Y
2006,freddy keiaho,San Diego State,ILB,71.25,224,4.65,15,36,113,4.12,7.01,0,0,N
2006,charlton keith,Kansas,OLB,76.38,237,4.83,12,30.5,109,4.36,7.03,0,0,N
2006,william kershaw,Maryland,OLB,74.75,240,4.67,21,37,111,4.17,6.95,0,0,N
2006,manny lawson,North Carolina State,OLB,77.38,241,4.47,23,39.5,124,4.18,6.9,0,0,Y
2006,tim mcgarigle,Northwestern,ILB,72.63,242,4.78,,38,118,4.07,7.09,0,0,Y
2006,roger mcintosh,Miami (FL),OLB,74.13,237,4.65,18,41.5,119,,,0,0,N
2006,terna nande,Miami (OH),OLB,72.13,232,4.55,41,39,124,4.11,6.97,0,0,Y
2006,aj nicholson,Florida State,OLB,72.75,252,4.9,25,,116,4.43,7.37,0,0,N
2006,kai parham,Virginia,ILB,75,256,5.04,30,35,116,4.33,7.35,0,0,N
2006,freddie roach,Alabama,ILB,73.88,257,4.96,,34,111,4.42,7.49,0,0,N
2006,dale robinson,Arizona State,ILB,72.38,231,4.84,18,33,108,4.3,7.29,1,0,N
2006,demeco ryans,Alabama,OLB,73.25,236,4.67,23,39,129,4.17,7.19,1,1,Y
2006,anthony schlegel,Ohio State,ILB,72.5,250,4.86,21,32,111,4.38,7.41,0,0,Y
2006,kevin simon,Tennessee,OLB,70,235,4.93,26,28,103,4.32,7.69,0,0,Y
2006,ernie sims,Florida State,OLB,71.13,231,4.56,25,41,125,4.22,7.31,0,0,Y
2006,anthony trucks,Oregon,OLB,72.88,233,4.79,22,37,125,4.14,7,0,0,N
2006,stephen tulloch,North Carolina State,ILB,70.75,241,4.93,27,33.5,113,4.15,7.19,0,0,Y
2006,cameron vaughn,Louisiana State,OLB,75.75,235,4.75,17,32,117,4.22,7.24,0,0,N
2006,gerris wilkinson,Georgia Tech,ILB,75,233,4.68,19,39,122,4.17,7.21,0,0,Y
2006,jamar williams,Arizona State,OLB,72.3,236,4.63,,37,120,4.29,7.03,0,0,Y
2006,leon williams,Miami (FL),ILB,75,245,4.6,25,,,,,0,0,Y
2007,jon abbate,Wake Forest,ILB,69.75,231,5.05,26,38.5,115,4.33,7.12,0,0,N
2007,rufus alexander,Oklahoma,OLB,72.88,228,4.8,25,35,117,4.3,7.06,1,0,Y
2007,antwan barnes,Florida International,OLB,72.63,240,4.46,31,35,122,4.32,7.29,0,0,Y
2007,jon beason,Miami (FL),OLB,72.25,237,4.76,19,,111,,,0,0,Y
2007,desmond bishop,California,ILB,73.88,239,4.8,33,,,,,0,0,Y
2007,quincy black,New Mexico,OLB,73.63,240,4.48,24,41.5,124,4.34,6.86,0,0,Y
2007,stewart bradley,Nebraska,OLB,75.75,254,4.74,28,35.5,112,4.17,7.29,0,0,Y
2007,prescott burgess,Michigan,OLB,75.38,240,4.88,19,32.5,106,4.31,7.01,0,0,Y
2007,quinton culberson,Mississippi State,OLB,72.63,236,4.8,18,29.5,113,,,0,0,N
2007,buster davis,Florida State,ILB,69.38,239,4.51,24,35.5,115,4.37,6.66,0,0,Y
2007,zak deossie,Brown (RI),ILB,76.63,250,4.61,26,34.5,122,4.22,6.89,0,0,Y
2007,justin durant,Hampton (VA),ILB,72.88,230,4.55,25,36,121,4.09,6.77,0,0,Y
2007,earl everett,Florida,OLB,74.5,238,4.89,19,32,113,,,0,0,N
2007,kamichael hall,Georgia Tech,OLB,72,228,4.78,,33,111,4.62,7.5,0,0,N
2007,david harris,Michigan,ILB,74.25,243,4.6,23,33,107,4.29,7.25,0,0,Y
2007,nate harris,Louisville,OLB,72.38,230,4.65,26,32,107,4.52,7.19,0,0,N
2007,justin hickman,UCLA,OLB,73.38,254,4.79,23,29.5,115,4.43,7.06,1,1,N
2007,rory johnson,Mississippi,OLB,72.13,232,4.6,19,38,116,4.07,,0,0,N
2007,zach latimer,Oklahoma,ILB,73.75,237,4.81,19,34,109,4.45,7.27,0,0,N
2007,marvin mitchell,Tennessee,ILB,75,249,4.94,22,32,108,4.25,7.29,0,0,Y
2007,stephen nicholas,South Florida,OLB,73.38,232,4.64,29,33.5,110,4.45,7.29,0,0,Y
2007,michael okwo,Stanford,ILB,71.38,232,4.73,20,35.5,121,4.43,7.12,0,0,Y
2007,sam olajubutu,Arkansas,OLB,68.75,227,4.79,24,34.5,118,4.34,7.33,0,0,N
2007,blair phillips,Oregon,ILB,73.13,243,4.89,23,30.5,106,4.48,7.01,0,0,N
2007,paul posluszny,Penn State,OLB,73.63,238,4.71,22,37,116,4.2,6.94,1,1,Y
2007,dallas sartz,Southern California,OLB,76.88,235,4.73,20,33.5,111,4.13,6.85,0,0,Y
2007,tim shaw,Penn State,OLB,73.5,236,4.54,26,36.5,116,4.12,7.01,0,0,Y
2007,brandon siler,Florida,ILB,73.75,241,4.64,,30.5,109,,7.34,0,0,Y
2007,juwan simpson,Alabama,OLB,74.38,225,4.57,15,34.5,123,4.42,7.22,0,0,N
2007,kelvin smith,Syracuse,ILB,74,240,4.82,26,32,110,4.42,7.19,0,0,Y
2007,tony taylor,Georgia,OLB,72.5,236,4.95,26,32,108,4.36,7.17,0,0,N
2007,lawrence timmons,Florida State,OLB,72.9,234,4.67,25,35,123,4.32,6.89,0,0,Y
2007,justin warren,Texas A&M,ILB,74.63,245,4.92,16,29.5,115,,,0,0,N
2007,anthony waters,Clemson,ILB,74.63,245,4.59,25,,,,,0,0,Y
2007,patrick willis,Mississippi,ILB,73.1,242,4.53,22,39,119,4.46,7.23,1,1,Y
2008,xavier adibi,Virginia Tech,OLB,73.75,232,4.71,,30,110,4.47,,0,0,Y
2008,steve allen,West Texas A&M,ILB,72.5,236,4.91,17,,111,,,0,0,N
2008,cliff avril,Purdue,OLB,74.88,253,4.63,27,32.5,117,4.51,6.9,0,0,Y
2008,kroy biermann,Montana,OLB,74.88,246,4.87,29,31.5,112,4.56,7.08,0,0,Y
2008,alvin bowen,Iowa State,OLB,73.13,223,4.9,15,34,119,4.3,7.21,0,0,Y
2008,shawn crable,Michigan,OLB,76.88,245,4.62,29,28,111,4.55,7.29,0,0,Y
2008,angelo craig,Cincinnati,OLB,76,252,5.09,21,30.5,118,,,0,0,Y
2008,bruce davis,UCLA,OLB,74.63,252,4.83,19,29,109,4.47,7.34,0,0,Y
2008,jordon dizon,Colorado,OLB,71.88,229,4.73,,30.5,118,4.35,7.01,1,1,Y
2008,jolonn dunbar,Boston College,ILB,72.5,231,4.84,19,27,112,,,0,0,N
2008,curtis gatewood,Vanderbilt,OLB,74,248,4.78,22,28.5,111,4.22,6.9,0,0,N
2008,jonathan goff,Vanderbilt,ILB,74,245,4.73,28,31.5,118,4.26,6.86,0,0,Y
2008,tavares gooden,Miami (FL),ILB,73.25,234,4.65,22,35,118,,,0,0,Y
2008,larry grant,Ohio State,OLB,73,235,4.79,20,31.5,113,4.22,6.77,0,0,Y
2008,quentin groves,Auburn,OLB,75,259,4.56,30,29.5,120,4.42,7.31,0,0,Y
2008,gary guyton,Georgia Tech,OLB,73.63,245,4.57,15,36.5,126,4.42,7.07,0,0,N
2008,geno hayes,Florida State,OLB,72.88,226,4.67,22,26.5,116,4.48,7.22,0,0,Y
2008,erin henderson,Maryland,OLB,74.75,244,4.8,23,31,113,4.5,7.16,0,0,N
2008,ali highsmith,Louisiana State,OLB,71.63,230,5.02,,26.5,112,4.29,7.4,0,0,N
2008,marcus howard,Georgia,OLB,72.5,237,4.47,27,34.5,,,,0,0,Y
2008,mike humpal,Iowa,OLB,74.5,244,4.83,20,31,119,4.25,7.07,0,0,Y
2008,curtis johnson,Clark Atlanta,OLB,74.63,242,4.69,25,26,,,,0,0,N
2008,stanford keglar,Purdue,OLB,73.63,239,4.63,29,34,126,3.98,6.7,0,0,Y
2008,bryan kehl,Brigham Young,OLB,74.25,242,4.69,26,34,119,4.23,6.88,0,0,Y
2008,spencer larsen,Arizona,ILB,73.75,238,4.91,27,28.5,113,4.55,7.68,0,0,Y
2008,curtis lofton,Oklahoma,ILB,72,246,4.85,23,24.5,105,4.56,7.69,1,1,Y
2008,durell mapp,North Carolina,OLB,72.88,227,4.74,27,,,,,0,0,N
2008,jerod mayo,Tennessee,ILB,73.25,242,4.59,,32,114,4.29,7.31,0,0,Y
2008,jameel mcclain,Syracuse,ILB,72.75,249,4.8,24,26,110,4.31,7.12,0,0,N
2008,steve octavien,Nebraska,OLB,71.63,238,4.74,26,29.5,118,,,0,0,N
2008,bryan smith,McNeese State (LA),OLB,74.38,231,4.76,17,32.5,120,4.4,7.22,0,0,Y
2008,nick watkins,Clemson,OLB,72.5,223,4.8,17,25,108,4.72,7.97,0,0,N
2008,philip wheeler,Georgia Tech,ILB,73.88,248,4.82,24,31,118,4.29,7.11,0,0,Y
2008,thomas williams,Southern California,ILB,72.9,238,4.89,26,29.5,113,,,0,0,Y
2008,wesley woodyard,Kentucky,OLB,72.4,227,4.53,,30,118,4.25,7.15,0,0,N
2009,kevin akins,Boston College,OLB,74,218,4.82,15,31.5,117,4.15,6.78,0,0,N
2009,stanley arnoux,Wake Forest,ILB,72,232,4.56,19,31.5,121,4.39,7.22,0,0,Y
2009,connor barwin,Cincinnati,OLB,75.63,256,4.59,21,40.5,128,4.18,6.87,0,0,Y
2009,darry beckwith,Louisiana State,ILB,73,234,4.75,23,26.5,110,4.5,7.39,0,0,N
2009,jasper brinkley,South Carolina,ILB,73.63,252,4.67,26,35.5,114,4.32,7.03,0,0,Y
2009,cody brown,Connecticut,OLB,74.13,244,4.76,26,36.5,120,4.4,7.1,0,0,Y
2009,victor butler,Oregon State,OLB,74.25,248,4.76,24,33,113,4.4,7.21,0,0,Y
2009,jonathan casillas,Wisconsin,OLB,73.13,228,4.5,24,,,,,0,0,N
2009,aaron curry,Wake Forest,OLB,73.75,254,4.52,25,37,124,4.51,7.15,1,0,Y
2009,brian cushing,Southern California,OLB,74.88,243,4.64,30,35,120,4.22,6.84,0,0,Y
2009,kevin ellison,Southern California,OLB,72.88,227,4.8,32,,,,,0,0,Y
2009,larry english,Northern Illinois,OLB,74.13,255,4.82,24,36,107,4.38,7.26,1,0,Y
2009,anthony felder,California,ILB,73.88,233,4.69,28,,116,,,0,0,N
2009,moise fokou,Maryland,OLB,73.13,233,4.65,12,31,121,4.28,7.09,0,0,Y
2009,zack follett,California,OLB,73.88,236,4.69,,37,117,,7.31,0,0,Y
2009,marcus freeman,Ohio State,OLB,72.63,239,4.65,30,37,113,4.12,6.98,0,0,Y
2009,cody glenn,Nebraska,OLB,72,244,4.78,25,,,,,0,0,Y
2009,nic harris,Oklahoma,OLB,74.38,234,4.86,15,31.5,109,4.37,7.05,0,0,Y
2009,stephen hodge,Texas Christian,OLB,71.63,234,4.59,22,35,115,4.34,7.21,0,0,Y
2009,mortty ivy,West Virginia,ILB,73.5,248,4.88,18,25.5,104,4.75,7.35,0,0,N
2009,james laurinaitis,Ohio State,ILB,73.88,244,4.76,22,33,115,4.24,6.93,1,1,Y
2009,deandre levy,Wisconsin,OLB,73.75,236,4.56,19,,119,,,0,0,Y
2009,kaluka maiava,Southern California,OLB,71.5,229,4.7,30,,110,4.2,6.98,0,0,Y
2009,clay matthews,Southern California,OLB,75.13,240,4.62,23,35.5,121,4.18,6.9,0,0,Y
2009,rey maualuga,Southern California,ILB,73.75,249,4.78,23,,107,,,1,1,Y
2009,tyrone mckenzie,South Florida,OLB,73.63,243,4.76,27,,112,,,0,0,Y
2009,scott mckillop,Pittsburgh,ILB,72.88,244,4.7,27,35.5,119,4.39,7,1,0,Y
2009,gerald mcrath,Southern Mississippi,ILB,73.88,231,4.49,19,34,123,4.35,7.24,1,0,Y
2009,jason phillips,Texas Christian,ILB,72.75,239,4.6,20,34,120,4.32,,0,0,Y
2009,lee robinson,Alcorn State (MS),OLB,74.25,249,4.71,24,32.5,113,4.67,7.57,0,0,N
2009,clint sintim,Virginia,OLB,75,256,4.75,,34.5,119,4.4,7.37,0,0,Y
2009,worrell williams,California,ILB,70.75,240,4.83,23,35,111,,,0,0,N
2009,morris wooten,Arizona State,ILB,73,231,5,15,,117,,,0,0,N
2010,pat angerer,Iowa,ILB,72.25,235,4.71,26,35,110,4.29,7.04,0,0,N
2010,jason beauchamp,Nevada Las Vegas,ILB,75,244,4.89,21,39.5,120,,7.1,0,0,N
2010,kyle bosworth,UCLA,OLB,72.63,236,4.69,25,32.5,117,4.11,6.67,0,0,N
2010,navorro bowman,Penn State,OLB,72.5,242,4.7,26,29.5,115,4.59,6.91,0,0,Y
2010,donald butler,Washington,ILB,73.13,245,4.62,35,,,,,0,0,Y
2010,lee campbell,Minnesota,ILB,74.38,247,4.88,17,34,108,4.4,7.27,0,0,N
2010,jamar chaney,Mississippi State,ILB,72.75,242,4.54,26,39,124,4.29,6.9,0,0,Y
2010,keenan clayton,Oklahoma,OLB,73.13,229,4.59,27,41.5,124,,,0,0,Y
2010,justin cole,San Jose State,OLB,75.13,242,4.76,22,34.5,117,4.42,7.13,0,0,N
2010,antonio coleman,Auburn,OLB,73.5,255,4.87,18,,113,,,0,0,N
2010,kavell conner,Clemson,OLB,72.5,242,4.59,24,33.5,110,4.6,7.36,0,0,Y
2010,rennie curran,Georgia,OLB,70.63,235,4.75,25,34.5,,,,0,0,Y
2010,dexter davis,Arizona State,OLB,73.5,244,4.62,25,35,109,4.3,7.08,0,0,Y
2010,phillip dillard,Nebraska,ILB,72.25,245,4.65,,31.5,106,4.43,7.16,0,0,Y
2010,aj edds,Iowa,OLB,75.63,246,4.62,16,33,117,4.28,7.19,0,0,Y
2010,junior galette,Stillman (AL),OLB,73.75,257,4.77,25,33.5,113,4.16,7.04,0,0,N
2010,thaddeus gibson,Ohio State,OLB,74,243,4.78,32,32,115,4.27,6.84,0,0,Y
2010,travis goethel,Arizona State,ILB,74.5,240,4.81,21,35,111,4.54,6.93,0,0,Y
2010,brandon graham,Michigan,OLB,73.38,268,4.71,31,,,,,0,0,Y
2010,jerry hughes,Texas Christian,OLB,73.75,255,4.65,26,34.5,118,4.15,6.99,1,1,Y
2010,josh hull,Penn State,ILB,74.75,237,4.93,25,32.5,115,4.07,6.86,0,0,Y
2010,carl ihenacho,San Jose State,OLB,75,245,4.86,20,,,,,0,0,N
2010,micah johnson,Kentucky,ILB,73.5,258,4.99,31,29,,,,0,0,N
2010,sergio kindle,Texas,OLB,74.88,250,4.65,25,36.5,118,4.53,7.26,0,0,Y
2010,keaton kristick,Oregon State,OLB,74.75,234,4.7,16,34,120,4.21,6.96,0,0,N
2010,simoni lawrence,Minnesota,OLB,72.38,232,4.59,21,40,123,4.43,7.3,0,0,N
2010,boris lee,Troy (AL),ILB,72.5,238,4.94,27,32.5,112,,,0,0,N
2010,sean lee,Penn State,ILB,74.13,236,4.71,24,37.5,120,,,0,0,Y
2010,sam maxwell,Kentucky,OLB,73.63,246,4.88,,33,108,4.52,7.37,0,0,N
2010,rolando mcclain,Alabama,ILB,76,249,4.68,24,,,,,1,1,Y
2010,albert mcclellan,Marshall (WV),ILB,73,247,4.75,26,36.5,119,4.21,7.24,1,0,N
2010,mike mclaughlin,Boston College,ILB,72.25,242,4.84,29,38.5,114,4.11,6.85,0,0,N
2010,koa misi,Utah,OLB,74.63,251,4.75,,38,127,4.27,7.07,0,0,Y
2010,arthur moats,James Madison (VA),OLB,72.25,246,4.64,24,36.5,122,4.37,7.22,0,0,Y
2010,roddrick muckelroy,Texas,OLB,73.75,246,4.68,19,31,110,4.39,7.25,0,0,Y
2010,eric norwood,South Carolina,OLB,73,242,4.71,,36.5,115,4.23,7.08,0,0,Y
2010,perry riley,Louisiana State,OLB,73,239,4.69,,35.5,119,4.25,6.97,0,0,Y
2010,ricky sapp,Clemson,OLB,75.88,252,4.65,23,34,114,4.41,7.29,0,0,Y
2010,darryl sharpton,Miami (FL),ILB,71.38,236,4.81,24,,,4.42,7.19,0,0,Y
2010,cameron sheffield,Troy (AL),OLB,74.38,257,4.92,,33,115,4.53,7.23,0,0,Y
2010,brandon spikes,Florida,ILB,74.88,249,5.05,,29,111,,6.97,1,1,Y
2010,stevenson sylvester,Utah,OLB,74.13,231,4.71,23,,,,,0,0,Y
2010,adrian tracy,William & Mary (VA),OLB,74.63,248,4.76,20,35.5,110,4.34,7.08,0,0,Y
2010,nate triplett,Minnesota,OLB,75,250,4.7,20,33,115,4.37,7.02,0,0,N
2010,daryl washington,Texas Christian,OLB,73.75,230,4.58,17,31,114,,,0,0,Y
2010,dekoda watson,Florida State,OLB,74,226,4.55,24,40,134,4.11,7.06,0,0,Y
2010,sean weatherspoon,Missouri,OLB,73.25,239,4.62,34,40,123,4.38,6.99,0,0,Y
2010,kion wilson,South Florida,ILB,73,239,4.87,27,36.5,123,4.53,,0,0,N
2010,jason worilds,Virginia Tech,OLB,73,254,4.65,24,38,114,4.29,6.95,0,0,Y
2011,sam acho,Texas,OLB,73.63,262,4.67,23,33.5,112,4.32,6.69,0,0,Y
2011,akeem ayers,UCLA,OLB,74.5,254,4.81,18,31,116,4.28,7.49,0,0,Y
2011,jeremy beal,Oklahoma,ILB,74.25,262,5.14,22,28.5,106,4.46,7.2,0,0,Y
2011,nick bellore,Central Michigan,ILB,73,245,4.84,23,32.5,109,4,6.98,0,0,N
2011,bruce carter,North Carolina,OLB,73.5,241,4.57,25,,,,,0,0,Y
2011,chris carter,Frenso State (CA),OLB,73.13,248,4.58,27,36,114,4.34,6.88,0,0,Y
2011,wayne daniels,Texas Christian,OLB,72.25,260,5.03,,25,106,4.68,7.81,0,0,N
2011,akeem dent,Georgia,ILB,73,242,4.78,24,37.5,123,,,0,0,Y
2011,mason foster,Washington,OLB,73.25,245,4.75,22,31,110,4.45,7.14,0,0,Y
2011,sandon herzlich,Boston College,OLB,76,244,4.91,29,32.5,112,4.46,7.32,0,0,N
2011,doug hogue,Syracuse,OLB,74.5,235,4.62,18,36,121,4.57,7.09,0,0,N
2011,ross homan,Ohio State,OLB,72.75,240,4.66,32,35.5,111,4.34,7.21,0,0,Y
2011,justin houston,Georgia,OLB,74.88,270,4.62,30,36.5,125,4.37,6.95,0,0,Y
2011,jeremiha hunter,Iowa,OLB,72.5,239,4.77,20,31.5,116,,,0,0,N
2011,greg jones,Michigan State,ILB,72.13,242,4.75,21,31.5,117,4.27,7.21,1,1,Y
2011,orie lemon,Oklahoma State,ILB,72.75,242,4.87,27,30,113,4.4,7.45,0,0,N
2011,greg lloyd,Connecticut,ILB,73.13,246,4.8,22,32,109,4.46,7.17,0,0,Y
2011,scott lutrus,Connecticut,OLB,74.38,241,4.68,,38,121,4.09,6.89,0,0,N
2011,casey matthews,Oregon,ILB,72.88,231,4.78,13,,,,,0,0,Y
2011,colin mccarthy,Miami (FL),ILB,73.38,238,4.59,23,36.5,119,4.2,6.93,0,0,Y
2011,bruce miller,Central Florida,OLB,73.38,254,4.81,35,31,113,4.34,7.05,1,0,Y
2011,von miller,Texas A&M,OLB,74.63,246,4.42,21,37,126,4.06,6.7,1,1,Y
2011,dontay moch,Nevada,OLB,73.38,248,4.4,21,42,128,4.38,7.09,1,0,Y
2011,michael mohamed,California,ILB,75,239,4.65,21,32,115,4,6.7,0,0,N
2011,adrian moten,Maryland,OLB,73.63,228,4.53,18,31,114,4.21,7.05,0,0,N
2011,jonas mouton,Michigan,OLB,73,239,4.84,,31.5,115,4.34,7.08,0,0,Y
2011,brooks reed,Arizona,OLB,74.5,263,4.65,30,30.5,113,4.28,7.11,0,0,Y
2011,brian rolle,Ohio State,OLB,69.63,229,4.53,28,33,115,4.26,6.89,0,0,Y
2011,kelvin sheppard,Louisiana State,ILB,73.88,250,4.64,22,33.5,110,4.28,,0,0,Y
2011,darryl smith,Appalachian State (NC),OLB,70.63,239,4.75,20,31,104,4.45,7.35,0,0,N
2011,quan sturdivant,North Carolina,ILB,73,241,4.63,21,34,115,4.5,,0,0,Y
2011,james thomas,West Virginia,OLB,73,241,4.65,23,30.5,114,4.28,7.23,0,0,Y
2011,chris white,Mississippi State,ILB,74.75,240,4.68,17,34,115,4.25,6.95,0,0,Y
2011,lawrence wilson,Connecticut,OLB,72.88,229,4.71,24,32.5,113,4.5,7.23,0,0,Y
2011,martez wilson,Illinois,ILB,76,250,4.42,23,36,124,4.28,7.04,0,0,Y
2011,kenneth wright,Mississippi State,OLB,75,246,4.75,20,32,120,4.46,7.26,0,0,N
2012,emmanuel acho,Texas,OLB,73.63,238,4.64,24,35.5,118,,,0,0,Y
2012,ryan baker,Louisiana State,OLB,71.38,232,4.8,30,34,113,4.35,7.21,0,0,N
2012,nigel bradham,Florida State,OLB,73.88,241,4.56,24,37,121,4.37,7.18,0,0,Y
2012,zach brown,North Carolina,OLB,73.25,244,4.44,,33.5,116,,,0,0,Y
2012,vontaze burfict,Arizona State,ILB,73.38,248,5,,30,104,,,0,0,N
2012,miles burris,San Diego State,OLB,74.13,246,4.73,31,37.5,121,,,0,0,Y
2012,tank carder,Texas Christian,ILB,74.38,236,4.58,19,34.5,121,4.18,6.89,1,0,Y
2012,audie cole,North Carolina State,ILB,76.13,246,4.76,15,35,114,4.29,6.96,0,0,Y
2012,lavonte david,Nebraska,OLB,72.63,233,4.57,19,36.5,119,4.22,7.28,0,0,Y
2012,demario davis,Arkansas State,OLB,74,235,4.49,32,38.5,124,4.28,7.19,0,0,Y
2012,darius fleming,Notre Dame,OLB,73.63,245,4.71,27,33.5,114,4.28,7.03,0,0,Y
2012,chris galippo,Southern California,ILB,73.5,241,4.73,19,29.5,107,4.1,6.9,0,0,N
2012,najee goode,West Virginia,ILB,72.13,244,4.55,,35.5,117,,,0,0,Y
2012,donta hightower,Alabama,ILB,74.25,265,4.62,,32,,,,1,1,Y
2012,melvin ingram,South Carolina,OLB,73.5,264,4.69,28,34.5,109,4.18,6.83,1,1,Y
2012,bruce irvin,West Virginia,OLB,75,245,4.41,23,33.5,123,4.03,6.7,0,0,Y
2012,jamesmichael johnson,Nevada,ILB,73.13,241,4.6,23,37,124,4.37,7.34,0,0,Y
2012,steven johnson,Kansas,OLB,72.5,239,4.71,16,36,113,4.38,7.32,0,0,N
2012,josh kaddu,Oregon,OLB,75.13,239,4.67,20,34,119,,,0,0,Y
2012,mychal kendricks,California,ILB,71.13,239,4.44,24,39.5,127,4.19,,1,0,Y
2012,luke kuechly,Boston College,ILB,75.25,242,4.58,27,38,123,4.12,6.92,1,1,Y
2012,ronnell lewis,Oklahoma,OLB,73.75,253,4.65,36,31,112,4.4,7.09,0,0,Y
2012,travis lewis,Oklahoma,OLB,73.38,246,4.83,22,36,122,,,0,0,Y
2012,brandon lindsey,Pittsburgh,OLB,73.63,254,4.85,23,33,117,4.28,7.36,0,0,N
2012,shawn loiseau,Merrimack (MA),ILB,72.5,244,4.74,19,32.5,109,,,0,0,N
2012,terrell manning,North Carolina State,OLB,74.13,237,4.71,22,32.5,114,4.43,7.18,0,0,Y
2012,brandon marshall,Nevada,OLB,73.38,242,4.72,28,30.5,108,4.09,7.05,0,0,Y
2012,jonathan massaquoi,Troy (AL),OLB,74.13,264,4.81,20,33.5,120,4.53,7.38,0,0,Y
2012,shea mcclellin,Boise State,OLB,75.38,260,4.62,19,31.5,118,4.33,7.07,0,0,Y
2012,caleb mcsurdy,Montana,ILB,73.25,245,4.82,26,30,110,4.28,7.26,0,0,Y
2012,tyler nielsen,Iowa,OLB,75.38,238,4.63,21,,,4.31,7.27,0,0,N
2012,keenan robinson,Texas,ILB,75,242,4.72,27,35.5,120,,,0,0,Y
2012,sean spence,Miami (FL),OLB,71.38,231,4.66,12,33.5,119,4.28,7.46,0,0,Y
2012,nathan stupar,Penn State,OLB,73.63,241,4.65,21,31,116,4.28,6.84,0,0,Y
2012,danny trevathan,Kentucky,OLB,72.25,237,4.75,18,31.5,111,,,0,0,Y
2012,bobby wagner,Utah State,OLB,73,241,4.46,,,,,,0,0,Y
2012,tahir whitehead,Temple,OLB,73.25,233,4.62,21,37,124,4.37,7.14,0,0,Y
2012,kyle wilber,Wake Forest,OLB,76,249,4.73,25,33.5,117,4.31,7.11,0,0,Y
2013,sam barrington,South Florida,ILB,72.88,246,4.91,22,32.5,117,,,0,0,Y
2013,steve beauharnais,Rutgers,ILB,72.88,240,4.84,19,33,118,4.2,6.99,0,0,Y
2013,jon bostic,Florida,ILB,72.88,245,4.61,22,32.5,118,4.24,6.99,0,0,Y
2013,arthur brown,Kansas State,OLB,72.38,241,4.62,,,116,,,0,0,Y
2013,jamie collins,Southern Mississippi,OLB,75.5,250,4.64,19,41.5,139,4.32,7.1,0,0,Y
2013,zaviar gooden,Missouri,OLB,73.5,234,4.47,27,34,131,4.18,6.71,0,0,Y
2013,khaseem greene,Rutgers,OLB,72.75,241,4.71,17,30,116,4.2,7.58,1,0,Y
