year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,rushatt,rushyds,rushypa,rushtds,hasbling,allamerican,hasawards,heisman,drafted
2007,alonzo coleman,Hampton (VA),RB,69.88,207,4.5,27,,120,,,,,,,0,0,0,0,N
2007,jon cornish,Kansas,RB,71.5,206,4.65,,34,118,,7.09,387,2245,5.8,17,0,0,0,0,N
2007,kenneth darby,Alabama,RB,70.38,211,4.76,19,30,108,4.53,7.25,702,3324,4.7,11,0,0,0,0,Y
2007,chris henry,Arizona,RB,71.25,230,4.41,26,36,127,4.14,6.96,269,892,3.3,9,0,0,0,0,Y
2007,nate ilaoa,Hawaii,RB,68.88,245,4.79,25,30,103,4.42,7.1,222,1689,7.6,20,0,0,0,0,Y
2007,kenny irons,Auburn,RB,70.63,203,4.5,11,29.5,111,4.17,7.18,520,2438,4.7,18,0,0,0,0,Y
2007,brandon jackson,Nebraska,RB,69.88,210,4.56,21,37,122,4.14,7,291,1431,4.9,14,0,0,0,0,Y
2007,brian leonard,Rutgers,RB,73.5,226,4.54,28,34.5,122,4.22,6.88,678,2775,4.1,32,0,0,0,0,Y
2007,marshawn lynch,California,RB,71.13,215,4.48,20,35.5,125,4.55,7.05,490,3230,6.6,29,1,0,1,0,Y
2007,leron mcclain,Alabama,FB,72.13,256,4.9,14,29.5,113,4.47,7.14,37,170,4.6,2,0,0,0,0,Y
2007,tyrone moss,Miami (FL),RB,69.13,231,4.8,16,31,107,4.56,,412,1942,4.7,26,0,0,0,0,N
2007,adrian peterson,Oklahoma,RB,73.5,217,4.41,,38.5,127,4.4,7.09,748,4041,5.4,41,1,1,1,0,Y
2007,antonio pittman,Ohio State,RB,70.75,207,4.42,16,35.5,123,4.16,6.84,557,2945,5.3,22,0,0,0,0,Y
2007,gijon robinson,Missouri Western,FB,72.75,255,4.76,21,33,116,4.43,7.23,,,,,0,0,0,0,N
2007,gary russell,Minnesota,RB,70.38,229,4.84,9,31.5,113,4.54,,210,1274,6.1,18,0,0,0,0,N
2007,derek schouman,Boise State,FB,74.25,247,4.77,27,37.5,122,4.27,7,,,,,0,0,0,0,Y
2007,kolby smith,Louisville,RB,71.25,220,4.52,18,38,114,4.34,7.22,316,1863,5.9,18,0,0,0,0,Y
2007,jason snelling,Virginia,FB,71.1,230,4.81,,30,111,4.37,7.06,276,1324,4.8,10,0,0,0,0,Y
2007,ramonce taylor,Texas College,RB,70.13,195,4.5,,34,125,4.23,6.98,104,797,7.7,13,0,0,0,0,N
2007,darius walker,Notre Dame,RB,70,206,4.56,19,40.5,123,4.39,7.18,693,3249,4.7,23,0,0,0,0,N
2007,garrett wolfe,Northern Illinois,RB,67.5,186,4.4,22,35.5,116,4.08,6.69,807,5164,6.4,52,1,0,1,0,Y
2007,dwayne wright,Frenso State (CA),RB,71.5,228,4.69,14,34,115,4.43,7.23,501,2683,5.4,16,0,0,0,0,Y
2007,deshawn wynn,Florida,RB,70.38,232,4.49,,31.5,115,,,446,2077,4.7,25,0,0,0,0,Y
2008,anthony alridge,Houston,RB,69,170,4.41,,30.5,134,,6.88,363,2595,7.1,22,0,0,0,0,N
2008,yvenson bernard,Oregon State,RB,68.38,204,4.87,,29.5,112,4.73,7.22,876,3862,4.4,38,0,0,0,0,N
2008,cory boyd,South Carolina,RB,72.5,213,4.56,25,33.5,118,4.24,6.97,464,2267,4.9,23,0,0,0,0,Y
2008,thomas brown,Georgia,RB,68.38,204,4.56,25,36,128,,7.17,529,2646,5,23,0,0,0,0,Y
2008,jehuu caulcrick,Michigan State,FB,72,254,4.71,16,33,109,4.72,7.4,532,2395,4.5,39,0,0,0,0,N
2008,jamaal charles,Texas,RB,71,200,4.41,,30.5,122,4.22,6.8,533,3328,6.2,36,0,0,0,0,Y
2008,tashard choice,Georgia Tech,RB,70.5,215,4.5,20,34,119,,6.88,697,3465,5,28,0,0,0,0,Y
2008,jerome felton,Furman (SC),FB,71.63,241,4.8,30,32.5,110,4.46,7.2,,,,,0,0,0,0,Y
2008,matt forte,Tulane (LA),RB,74,217,4.44,23,33,118,4.23,6.84,833,4265,5.1,39,0,0,0,0,Y
2008,benjarvus greenellis,Mississippi,RB,70.63,219,4.66,24,30.5,114,,,,,,,0,0,0,0,N
2008,mike hart,Michigan,RB,68.88,206,4.77,23,28,110,,,,,,,0,0,0,0,Y
2008,jacob hester,Louisiana State,FB,70.63,226,4.62,23,27.5,111,4.24,6.85,364,1780,4.9,20,0,0,0,0,Y
2008,lex hilliard,Montana,FB,71.13,231,4.69,,32,122,4.2,7.01,,,,,0,0,0,0,Y
2008,peyton hillis,Arkansas,FB,72.75,240,4.67,26,30.5,117,,7.15,203,959,4.7,12,0,0,0,0,Y
2008,chris johnson,East Carolina (NC),RB,71,197,4.3,,35,130,,,624,2982,4.8,32,0,0,0,0,Y
2008,felix jones,Arkansas,RB,70.13,207,4.5,,33.5,124,4.19,6.9,386,2956,7.7,20,1,1,1,0,Y
2008,kregg lumpkin,Georgia,RB,71.5,226,4.73,22,28,111,,,352,1700,4.8,15,0,0,0,0,N
2008,darren mcfadden,Arkansas,RB,73.25,211,4.38,,33,128,,,785,4590,5.8,41,1,1,1,0,Y
2008,kalvin mcrae,Ohio,RB,69.13,203,4.76,,25.5,109,,,903,4398,4.9,45,0,0,0,0,N
2008,rashard mendenhall,Illinois,RB,70.13,225,4.45,26,33.5,117,4.18,,388,2539,6.5,22,1,0,1,0,Y
2008,xavier omon,Northwest Missouri State,RB,70.75,228,4.62,17,31,112,,,,,,,0,0,0,0,Y
2008,jalen parmele,Toledo,RB,71.5,224,4.55,19,34,125,4.29,6.96,589,3119,5.3,28,0,0,0,0,Y
2008,ray rice,Rutgers,RB,68,199,4.46,23,31.5,119,4.2,6.65,910,4926,5.4,49,0,0,0,0,Y
2008,dantrell savage,Oklahoma State,RB,68.25,187,4.6,13,32.5,117,,,349,2092,6,17,0,0,0,0,N
2008,owen schmitt,West Virginia,FB,74,247,4.8,26,,,,,160,1003,6.3,13,0,0,0,0,Y
2008,chad simpson,Morgan State (MD),RB,68.63,216,4.43,,32.5,124,,,17,86,5.1,0,0,0,0,0,N
2008,steve slaton,West Virginia,RB,69.13,197,4.49,19,33.5,118,,,664,3923,5.9,50,1,1,1,0,Y
2008,kevin smith,Central Florida,RB,73.13,217,4.56,,32,120,4.49,6.74,905,4679,5.2,45,1,1,1,0,Y
2008,carl stewart,Auburn,FB,73,230,4.7,30,39,134,4.5,7.12,128,482,3.8,9,0,0,0,0,N
2008,jonathan stewart,Oregon,RB,70.25,235,4.48,28,36.5,128,4.53,7.44,516,2891,5.6,27,0,0,0,0,Y
