year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasbling,allamerican,hasawards,drafted
1998,ben crosland,Utah State,DT,76.6,278,,19,,,,,0,0,0,N
1998,casey dailey,Northwestern,DE,75.1,245,4.9,20,32.5,112,3.92,7.54,0,0,0,Y
1998,melvin dansby,Notre Dame,DT,75.6,285,5.39,32,26.5,105,4.51,8.45,0,0,0,N
1998,greg ellis,North Carolina,DE,77.3,281,4.87,26,35.5,118,4.48,8.03,1,1,1,Y
1998,jason evans,Southern Methodist (TX),DT,76,299,5.19,18,30,106,4.66,8.23,0,0,0,N
1998,jerome evans,Kansas State,DT,76.3,319,5.06,,30.5,104,4.85,9.02,0,0,0,N
1998,steve foley,Louisiana-Monroe,DE,75.5,261,4.68,24,34.5,117,4.47,7.84,0,0,0,Y
1998,carl hansen,Stanford,DT,76.4,284,5.11,23,29,108,4.44,7.8,0,0,0,Y
1998,cedric jefferson,Southern California,DT,74.4,291,5.54,19,26,96,4.71,8.32,0,0,0,N
1998,leonard little,Tennessee,DE,75.4,237,,18,,,,,0,0,0,Y
1998,mitch marrow,Pennsylvania,DT,76,280,4.85,35,38.5,122,4.39,8.54,0,0,0,Y
1998,viliami maumau,Colorado,DT,73.9,302,5.36,26,25.5,102,4.7,,0,0,0,Y
1998,chance mccarty,Texas Christian,DE,75.4,248,4.94,,32,108,4.36,7.73,0,0,0,Y
1998,kenny mixon,Louisiana State,DE,76.4,270,4.9,18,28,111,4.47,8.39,0,0,0,Y
1998,mike moten,Florida,DT,76.6,266,4.92,18,35,119,4.61,,0,0,0,N
1998,michael myers,Alabama,DE,74.4,285,5.11,21,25,99,5.1,8.47,0,0,0,Y
1998,eric ogbogu,Maryland,DE,75.9,270,4.98,18,32.5,115,4.35,7.93,0,0,0,Y
1998,julian pittman,Florida State,DT,75.6,286,,,26.5,105,,,0,0,0,Y
1998,derrick ransom,Cincinnati,DT,75.6,281,5.14,21,29,103,4.68,7.87,0,0,0,Y
1998,leonta rheams,Houston,DT,74.4,287,,23,,,,,0,0,0,Y
1998,angel rubio,Southeast Missouri State,DT,73.9,300,5.18,23,26.5,100,4.58,8.28,0,0,0,Y
1998,joe salavea,Arizona,DT,75.6,285,5.17,27,29.5,104,4.71,8.05,0,0,0,Y
1998,david sanders,Arkansas,DE,76.3,308,4.85,,32.5,115,,,0,0,0,Y
1998,henry slay,West Virginia,DT,73.4,288,5.2,18,29,104,4.57,8.5,0,0,0,Y
1998,chris snyder,Penn State,DE,74.1,270,5.02,24,28.5,110,4.37,7.67,0,0,0,N
1998,glen steele,Michigan,DE,76.3,292,5.15,23,27.5,99,4.4,7.74,0,0,0,Y
1998,andre wadsworth,Florida State,DE,75.6,278,,,35.5,119,4.38,7.42,1,1,1,Y
1998,brandon whiting,California,DT,75.1,285,5.18,28,30.5,,,,0,0,0,Y
1998,samuel wiley,Louisiana State,DT,76.4,275,4.96,23,28.5,108,4.41,7.75,0,0,0,N
1998,kailee wong,Stanford,DE,74.6,267,4.66,27,34.5,117,3.93,7.3,0,0,0,Y
1999,lionel barnes,North Carolina Central,DE,77,264,5,24,34,112,4.52,7.51,0,0,0,Y
1999,albrey battle,Arizona State,DT,75,294,5.39,23,29,101,4.66,8.15,0,0,0,N
1999,tim beauchamp,Florida,DE,73.9,270,4.92,24,26.5,,,,0,0,0,N
1999,david bowens,Western Illinois,DE,74.1,255,4.88,,31,112,4.38,7.4,0,0,0,Y
1999,melvin bradley,Arkansas,DE,73.1,269,4.67,,31,111,4.32,7.42,0,0,0,Y
1999,donald broomfield,Clemson,DT,75,302,5.08,24,31,106,4.34,7.75,0,0,0,Y
1999,tony bryant,Florida State,DE,75.6,273,4.85,16,34.5,111,4.57,7.57,0,0,0,Y
1999,thomas burke,Wisconsin,DE,74.1,264,4.84,24,35,106,4.38,7.42,0,0,0,N
1999,ed chester,Florida,DT,76,294,4.91,21,,,,,0,0,0,N
1999,antonio cochran,Georgia,DE,75.6,297,5.11,19,33,112,4.55,7.87,0,0,0,Y
1999,willie cohens,Florida,DE,74.4,264,5,29,33.5,108,4.52,7.84,0,0,0,N
1999,rod coleman,East Carolina (NC),DE,73.8,262,4.94,,32.5,108,4.57,8,0,0,0,N
1999,rosevelt colvin,Purdue,DE,74.4,256,4.92,,36.5,119,4.19,7.08,0,0,0,Y
1999,robert daniel,Northwestern State (LA),DE,77.9,281,5.05,24,28.5,110,4.86,7.91,0,0,0,Y
