year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,isbuilt,drafted
1997,eric vance,Vanderbilt,SS,74,215,4.62,18,38.5,125,4.33,7.38,1,N
1997,vann washington,West Virginia,FS,72.1,212,,14,34,115,4.21,7.53,1,N
1997,cyrill weems,Wisconsin,SS,73.4,207,4.71,12,34.5,117,4.19,7.43,1,N
1997,jamel williams,Nebraska,SS,72.6,204,4.6,11,38,123,4.15,7.25,1,Y
1997,marcus wimberly,Miami (FL),FS,71.5,204,4.6,9,31.5,114,4.47,7.62,0,Y
1997,sean woodson,Jackson State (MS),FS,72.6,214,4.83,18,32.5,119,4.3,7.58,1,Y
1997,lawrence wright,Florida,SS,72.8,214,,20,,,,,1,N
1998,jamaal alexander,Southern Mississippi,FS,70.8,200,4.48,,32.5,113,4.24,7.35,0,Y
1998,ryan black,Colorado,FS,70,192,4.72,13,35.5,115,4.06,7.48,0,N
1998,eric brown,Mississippi State,SS,72.3,208,4.53,12,40.5,125,4.06,7.08,1,Y
1998,omar brown,North Carolina,SS,69.8,198,,14,39.5,115,4.12,,0,Y
1998,kerry cooks,Iowa,SS,71.1,198,4.58,15,33.5,116,4.05,7.49,0,Y
1998,donovin darius,Syracuse,FS,72.6,211,,,38.5,128,3.95,7.21,1,Y
1998,scott frost,Nebraska,FS,74.8,219,4.62,,34.5,115,,7.18,1,Y
1998,kadar hamilton,Stanford,SS,70.9,212,4.87,15,33,110,4.15,7.5,0,N
1998,tebucky jones,Syracuse,SS,73.3,214,4.43,,38.5,120,3.94,7.34,1,Y
1998,lloyd lee,Dartmouth (NH),SS,73.4,207,4.58,18,33.5,117,3.93,7.08,1,N
1998,robert mcquarters,Oklahoma State,FS,69.6,193,4.5,13,35.5,120,4.19,7.43,0,N
1998,tori noel,Tennessee,SS,72,199,,12,,,,,0,N
1998,heron oneal,Western Michigan,FS,73.9,192,4.62,8,39,120,4.09,7.25,0,N
1998,izell reese,Alabama-Birmingham,SS,74.1,193,4.54,13,39.5,133,4.06,7.09,0,Y
1998,damien richardson,Arizona State,SS,73.5,210,4.66,17,37,124,3.98,7.33,1,Y
1998,tawambi settles,Duke,FS,74.4,191,4.58,,32.5,113,4.04,7.42,0,N
1998,shevin smith,Florida State,SS,70.6,196,,13,,,,,0,Y
1998,ryan sutter,Colorado,SS,73.1,203,4.61,17,33.5,120,4.13,7.07,1,Y
1998,eric warfield,Nebraska,FS,72.4,192,,,40,127,3.9,7.06,0,Y
1998,greg williams,North Carolina,SS,70.6,191,4.78,15,35.5,110,4.07,7.41,0,N
1998,shaun williams,UCLA,FS,73.4,211,4.48,,33.5,122,4.25,7.42,1,Y
1999,johndale carty,Utah State,FS,73,192,4.58,12,40,126,4.15,7,0,Y
1999,rich coady,Texas A&M,SS,72.6,210,4.56,20,36,117,3.88,7.11,1,Y
1999,nikia codie,Baylor,FS,75,207,4.57,17,34,121,4.2,7.21,1,N
1999,rashard cook,Southern California,FS,71,197,4.84,13,36,121,4.3,7.2,0,Y
1999,antuan edwards,Clemson,SS,72.3,210,4.46,,38,123,3.96,6.89,1,N
1999,mitchell freedman,Arizona,FS,73,217,4.65,7,38.5,125,,,1,N
1999,tony george,Florida,SS,70.4,198,4.65,15,36.5,116,4.24,7.3,0,Y
1999,matt graham,Indiana State,SS,71,207,4.44,21,35,117,3.86,6.87,0,N
1999,billy gustin,Purdue,FS,73,192,4.38,15,37,121,3.99,7.03,0,N
1999,cory hall,Frenso State (CA),FS,71.8,202,4.52,17,36,115,4.29,7.18,0,Y
1999,armon hatcher,Oregon State,SS,72.4,215,4.62,,36,119,4.2,7.23,1,Y
1999,dexter jackson,Florida State,FS,71.6,196,4.64,10,36,115,4.06,6.96,0,Y
1999,paris johnson,Miami (OH),SS,74,207,4.71,16,35,117,4.32,7.49,1,Y
1999,gana joseph,Oklahoma,FS,72.4,212,4.57,17,32,107,4.32,7.48,1,N
1999,sori kanu,Michigan State,FS,71,193,4.69,14,35,115,4.21,7.36,0,N
1999,mike mckenzie,Memphis,FS,73,191,4.58,,34,115,4.11,7.11,0,Y
1999,damon moore,Ohio State,SS,71.1,209,4.6,21,35,118,4.22,7.18,0,Y
1999,jason perry,North Carolina State,FS,72.9,200,4.61,17,36.5,121,4.23,7.31,1,Y
1999,pierson prioleau,Virginia Tech,FS,69.9,191,4.57,18,42,130,3.97,7.28,0,Y
1999,marcus ray,Michigan,SS,70.5,206,4.61,,35.5,111,4.19,7.43,0,N
1999,scott shields,Weber State (UT),SS,76.1,228,4.55,23,35,120,4.06,7.03,1,Y
1999,marquis smith,California,SS,74.4,218,4.6,,39.5,130,4.12,7.31,1,Y
1999,myron terry,Colorado State,FS,74,203,4.72,21,35,117,4.16,7.2,1,N
1999,eric thigpen,Iowa,FS,72.1,198,4.76,14,35,114,4.26,7.37,0,Y
1999,ricky thompson,Oklahoma State,FS,71.9,181,4.73,15,36,118,4.32,7.21,0,N
1999,brad ware,Auburn,FS,73.9,207,4.53,18,37,116,4.25,7.34,1,Y
1999,marcus washington,Colorado,FS,73.8,219,4.65,16,37,117,4.44,7.4,1,Y
2000,rashidi barnes,Colorado,FS,71.6,208,4.63,10,35,114,4.32,6.92,0,Y
2000,rogers beckett,Marshall (WV),FS,73.5,207,4.64,15,39.5,119,4.29,6.48,1,Y
2000,matt bowen,Iowa,SS,73.1,201,4.51,12,33,115,4.09,7.06,1,Y
2000,mike brown,Nebraska,SS,69.9,204,4.6,14,36,116,4.01,6.93,0,Y
2000,tyrone carter,Minnesota,SS,67.6,190,4.53,16,41,121,4.19,6.75,0,Y
2000,ashley cooper,Mississippi State,SS,70.3,208,4.69,16,,117,,,0,N
2000,todd franz,Tulsa (OK),FS,73,199,4.55,14,,,,,0,Y
