name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone
"Russell, Dontavius",Auburn,DL,75,319,5.15,24,,,4.77,7.81
"Saunders, Khalen",Western Illinois,DL,72,324,5.01,27,30.5,101,4.62,7.57
"Slayton, Chris",Syracuse,DL,76,307,5.13,28,29,101,4.73,
"Tillery, Jerry",Notre Dame,DL,78,295,4.93,23,32,115,4.33,7.45
"Watts, Armon",Arkansas,DL,77,300,5.23,,,,,
"Wilkins, Christian",Clemson,DL,75,315,5.04,28,29.5,107,4.55,
"Williams, Quinnen",Alabama,DL,75,303,4.83,,30.5,112,,
"Wise, Daniel",Kansas,DL,75,281,5.28,22,27.5,112,4.37,7.53
"Wren, Renell",Arizona St.,DL,77,318,5.01,30,32,118,4.53,7.65
"Al-Shaair, Azeez",FAU,LB,73,234,,16,,,,
"Alaka, Otaro",Texas A&M,LB,75,239,4.82,20,36,131,,
"Allen, Dakota",Texas Tech,LB,73,232,4.77,28,,118,4.23,7.15
"Allen-Williams, Bryson",South Carolina,LB,73,236,4.88,14,,,,7.4
"Allison, Jeff",Fresno St.,LB,71,228,4.82,12,31,115,4.45,7.2
"Barton, Cody",Utah,LB,74,237,4.64,25,27,109,4.66,7.85
"Burr-Kirven, Ben",Washington,LB,72,230,4.56,21,34.5,121,4.09,6.85
"Bush, Devin",Michigan,LB,71,234,4.43,21,40.5,124,4.23,6.93
"Cashman, Blake",Minnesota,LB,73,237,4.5,18,37.5,124,4.12,6.95
"Connelly, Ryan",Wisconsin,LB,74,242,4.66,,34.5,118,4.31,7.09
"Davis, Deshaun",Auburn,LB,71,234,,25,31,111,4.38,
"Dodson, Tyrel",Texas A&M,LB,72,237,4.6,24,,118,,
"Edwards, T.J.",Wisconsin,LB,72,230,,16,,,,
"Egbule, Emeke",Houston,LB,74,245,4.65,20,33,119,4.38,7.38
"Giles-Harris, Joe",Duke,LB,74,234,4.75,17,29.5,111,,
"Greenlaw, Dre",Arkansas,LB,71,237,,24,33,117,,
