player,college,position,height,weight
"Beckner, Terry",Missouri,DL,6-4,296
"Slayton, Darius",Auburn,WR,6-1,190
"Granderson, Carl",Wyoming,EDGE,6-5,254
"Ballentine, Corey",Washburn,CB,6-0,204
"Hansen, Chase",Utah,LB,6-3,222
"Thorson, Clayton",Northwestern,QB,6-4,222
"Powers, Ben",Oklahoma,OL,6-4,307
"Pierschbacher, Ross",Alabama,OL,6-4,307
"Gaines, Greg",Washington,DL,6-1,312
"Hart, Penny",Georgia St.,WR,5-8,180
"Boykin, Miles",Notre Dame,WR,6-4,220
"Blair, Marquise",Utah,S,6-1,195
"Brailford, Jordan",Oklahoma St.,EDGE,6-3,252
"Tranquill, Drue",Notre Dame,LB,6-2,234
"Williams, Dexter",Notre Dame,RB,5-11,212
"Bell, Mike",Fresno St.,S,6-3,210
"Tell, Marvell",USC,S,6-2,198
"Sills, David",West Virginia,WR,6-3,211
"Meyers, Jakobi",NC State,WR,6-2,203
"Gaskin, Myles",Washington,RB,5-9,205
"Hardman, Mecole",Georgia,WR,5-10,187
"Daley, Dennis",South Carolina,OL,6-5,317
"Cominsky, John",University of Charleston,DL,6-5,286
"Christmas, Demarcus",Florida St.,DL,6-3,294
"Mack, Daylon",Texas A&M,DL,6-1,336
"Bunting, Sean",C. Michigan,CB,6-0,195
"Williams, Trayveon",Texas A&M,RB,5-8,206
"Sweeney, Tommy",Boston College,TE,6-4,251
"Hyatt, Mitch",Clemson,OL,6-5,303
"Johnson, Isaiah",Houston,CB,6-2,208
"Edoga, Chuma",USC,OL,6-3,308
"Smith, Saivion",Alabama,CB,6-1,199
"Edwards, Mike",Kentucky,S,5-10,205
"Gaillard, Lamont",Georgia,OL,6-3,305
"Higdon, Karan",Michigan,RB,5-9,206
"Long, David",West Virginia,LB,5-11,227
"Humphrey, Lil'Jordan",Texas,WR,6-4,210
"Jackson, Mike",Miami (Fla.),CB,6-1,210
"Knox, Dawson",Ole Miss,TE,6-4,254
"Gustin, Porter",USC,EDGE,6-4,255
"Crosby, Maxx",E. Michigan,EDGE,6-5,255
"Moreau, Foster",LSU,TE,6-4,253
"Scott, LJ",Michigan St.,RB,6-0,227
"Herbig, Nate",Stanford,OL,6-3,335
"Samia, Dru",Oklahoma,OL,6-5,305
"Nauta, Isaac",Georgia,TE,6-3,244
"Mack, Alize",Notre Dame,TE,6-4,249
"Redwine, Sheldrick",Miami (Fla.),S,6-0,196
"Lodge, DaMarkus",Ole Miss,WR,6-2,202
"Sheffield, Kendall",Ohio St.,CB,5-11,193
"Mitchell, Dillon",Oregon,WR,6-1,197
"Okereke, Bobby",Stanford,LB,6-1,239
"Sample, Drew",Washington,TE,6-5,255
"Brady, Tyre",Marshall,WR,6-3,211
"Miller, Shareef",Penn St.,EDGE,6-4,254
"Slayton, Chris",Syracuse,DL,6-4,307
