player,benchpress,vert_jump_in,broad_jump_in,3cone,shuttle,40yards,height_in,weight_lbs
"Godwin, Terry",,36.5,117,6.96,,4.55,71,184
"Granderson, Carl",,35,119,7.44,4.41,4.79,77,254
"Gray, Derwin",26,,90,,,5.26,76,320
"Green, Gerri",24,35,114,7.27,4.42,4.63,76,252
"Greenlaw, Dre",24,33,117,,,,71,237
"Grier, Will",,34,112,7.09,4.28,4.84,74,217
"Gustin, Porter",31,35.5,119,,,4.69,76,255
"Hall, Terez",20,,,,,,73,230
"Hall, Emanuel",15,43.5,141,,,4.39,74,201
"Hampton, Saquan",14,,125,,,4.48,73,206
"Hanks, Terrill",21,35.5,118,,,4.98,74,242
"Hardman, Mecole",17,36.5,119,,,4.33,70,187
"Harmon, Kelvin",18,32.5,117,7.15,4.32,4.6,74,221
"Harris, Damien",16,37,121,,,4.57,70,216
"Harris, Will",20,36.5,123,6.91,4.12,4.41,73,207
"Harry, N'Keal",27,38.5,122,,,4.53,74,228
"Hartage, Montre",9,34.5,123,6.95,4.08,4.68,71,190
"Haskins, Dwayne",,28.5,,,,5.04,75,231
"Haynes, Phil",33,31,108,7.76,4.95,5.2,76,322
"Helm, Daniel",14,,,,,4.89,76,249
"Henderson, Darrell",22,33.5,121,,,4.49,68,208
"Herbig, Nate",29,24,90,8.15,5.04,5.41,75,335
"Higdon, Karan",21,34,123,,,4.49,69,206
"Hill, Justice",21,40,130,,,4.4,70,198
"Hill, Trysten",28,35,115,7.7,4.38,5.04,75,308
"Hockenson, T.J.",17,37.5,123,7.02,4.18,4.7,77,251
"Holder, Alijah",9,36,121,6.7,4.15,4.6,73,191
"Hollins, Justin",25,36.5,119,7.06,4.4,4.5,77,248
"Holyfield, Elijah",26,29.5,118,,,4.78,70,217
"Homer, Travis",17,39.5,130,7.07,4.31,4.48,70,201
"Hooker, Amani",14,37,123,6.81,4.1,4.48,71,210
"Howard, Tytus",21,29.5,103,8.34,4.87,5.05,77,322
"Huggins, Albert",35,25.5,101,7.84,4.84,5.12,75,305
"Humphrey, Lil'Jordan",13,33.5,119,7.09,4.29,4.75,76,210
"Hurd, Jalen",23,,,,,,77,226
"Hyatt, Mitch",28,25.5,102,7.72,4.52,,77,303
"Ingold, Alec",16,34,116,7.35,4.32,4.89,73,242
"Isabella, Andy",15,36.5,121,6.95,4.15,4.31,69,188
"Jackson, Tyree",,34.5,120,7.09,4.28,4.59,79,249
"Jackson, Joe",22,27,109,,,,76,275
"Jackson, Mike",13,40.5,130,7.12,4.12,4.45,73,210
"James, Andre",21,29,105,8,4.84,5.32,76,299
"Jefferson, CeCe",17,30.5,108,7.5,4.53,5.02,73,266
"Jelks, Jalen",19,32.5,113,7.22,4.59,4.92,77,256
"Jenkins, Elgton",29,28,109,7.77,4.62,,76,310
"Jennings, Gary",20,37,127,7.32,4.15,4.42,73,214
"Johnson, Jaquan",18,33,121,,,4.69,70,191
"Johnson, Gary",16,33.5,121,7.15,4.57,4.43,72,226
"Johnson, Darryl",20,,,,,,78,253
"Johnson, Devon",26,27.5,89,8.34,5.28,5.16,79,338
"Johnson, Diontae",15,33.5,123,7.09,4.45,4.53,70,183
"Johnson, KeeSean",14,30,117,7.28,4.23,4.6,73,201
"Johnson, Olabisi",14,38,124,6.88,4.16,4.51,72,204
"Johnson, Lonnie",15,38,129,7.01,4.1,4.52,74,213
"Johnson, Isaiah",,36.5,133,6.81,4.06,4.4,74,208
"Johnson, Anthony",18,32.5,122,7.12,,,74,209
"Johnson, Anthony",18,32.5,122,7.12,,,75,291
"Jones, Jordan",23,32.5,123,,4.37,4.62,74,234
"Jones, Daniel",,33.5,120,7,4.41,4.81,77,221
"Jones, Tyler",23,31.5,111,7.75,4.82,,75,306
"Jones, Dre'Mont",,31.5,110,7.71,4.53,5.12,75,281
"Jordan, Michael",19,32.5,116,7.71,4.71,5.27,78,312
"Joseph, Kendall",25,,,,,,72,233
"Keke, Kingsley",,31.5,111,7.55,4.46,4.95,75,288
"Knox, Dawson",16,34.5,,7.12,4.27,,76,254
"Lawrence, Dexter",36,,,,,5.05,76,342
"Layne, Justin",,37.5,134,6.9,4.09,4.5,74,192
"Ledbetter, Jonathan",22,26.5,108,,,5.14,76,280
"Lewis-Marshall, Iman",16,,,,,4.53,73,207
"Lindstrom, Chris",25,30.5,117,7.61,4.54,4.91,76,308
"Little, Greg",,25,113,,4.74,5.33,77,310
"Lock, Drew",,31,112,7.03,4.12,4.69,76,228
"Lodge, DaMarkus",11,33.5,119,7.06,4.53,4.55,74,202
"Long, David",18,,,,,,71,196
"Long, David",18,,,,,,71,227
"Long, David",15,39.5,120,6.45,3.97,4.45,71,196
"Long, David",15,39.5,120,6.45,3.97,4.45,71,227
"Love, Bryce",18,,,,,,69,200
"Love, Julian",14,36,121,6.72,4.1,4.54,71,195
"Mack, Alize",22,36,120,7.27,4.34,4.7,76,249
"Mack, Daylon",30,27,102,8.02,4.95,5.1,73,336
"Mattison, Alexander",22,35,127,7.13,4.29,4.67,71,221
"McCoy, Erik",29,31,107,8.28,4.62,4.89,76,303
"McGary, Kaleb",23,33.5,111,7.66,4.58,5.05,79,317
"McGovern, Connor",28,,112,7.66,4.57,,77,308
"McLaurin, Mark",12,36,,,4.46,4.77,73,212
"McLaurin, Terry",18,37.5,125,7.01,4.15,4.35,72,208
"McSorley, Trace",,33,115,7.09,4.12,4.57,72,202
"Metcalf, D.K.",27,40.5,134,7.38,4.5,4.33,75,228
"Meyers, Jakobi",13,37,118,7.07,4.23,4.63,74,203
"Miles, Joshua",,36,109,8.07,4.75,5.32,77,314
"Miller, Jordan",6,37,125,,,4.49,73,186
"Miller, Shareef",16,29.5,,,4.45,4.69,76,254
"Miller, Christian",,38.5,118,,,,75,247
"Minshew, Gardner",,33.5,116,7.14,4.45,4.97,73,225
"Mitchell, Dillon",12,36.5,122,,4.29,4.46,73,197
"Montgomery, David",15,28.5,121,,,4.63,70,222
"Moore, Jalin",27,,,,,,70,212
"Moreau, Foster",22,36.5,121,7.16,4.11,4.66,76,253
"Morgan, Stanley",14,38.5,125,6.78,4.13,4.53,72,202
"Mullen, Trayvon",,34.5,123,,,4.46,73,199
"Murphy, Byron",14,36.5,120,,,4.55,71,190
"Murray, Nyqwan",8,34,113,7.2,4.4,4.63,70,191
"Nauta, Isaac",19,28,,7.45,4.43,4.91,75,244
"Nelson, Anthony",18,35.5,118,6.95,4.23,4.82,79,271
"Nijman, Yosh",27,,114,8.07,4.5,,79,324
"Okereke, Bobby",,33.5,122,7.25,4.26,4.58,73,239
"Oliver, Josh",22,34,117,7.21,4.47,4.63,77,249
"Oliver, Ed",32,36,120,,,,74,287
"Ollison, Qadree",19,29.5,114,7.53,4.31,4.58,73,228
"Omenihu, Charles",,36.5,115,7.48,4.36,4.92,77,280
"Opeta, Iosua",39,33,112,8.06,4.94,5.02,76,301
"Oruwariye, Amani",17,36.5,120,6.82,4.16,4.47,74,205
"Patterson, Javon",27,27.5,98,7.72,4.78,5.13,75,307
"Peters, Jamal",,,,,,4.63,74,218
"Pierschbacher, Ross",20,22.5,,7.83,4.7,5.2,76,307
"Pipkins, Trey",16,33.5,114,7.61,4.7,5.12,78,309
"Polite, Jachai",,32,,,,4.84,75,258
"Pollard, Tony",13,35,121,,,4.52,72,210
"Pope, Ryan",25,,,,,,79,320
"Powers, Ben",21,,,,,,76,307
"Pratt, Germaine",24,32.5,116,,,4.57,74,240
"Prince, Isaiah",23,27,115,7.9,5.02,5.09,78,305
"Pulley, Ryan",11,31,111,,,4.61,71,209
"Rapp, Taylor",17,35,115,6.82,3.99,,72,208
"Ray, Wyatt",25,34,118,7.34,4.31,4.83,75,257
"Raymond, Dax",15,32,109,7.15,4.39,4.73,77,255
"Redwine, Sheldrick",,39,130,,4.14,4.44,72,196
