year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1997,jim druckenmiller,Virginia Tech,QB,76.6,234,,,29.0,106.0,4.28,7.92,1.0
1997,marc edwards,Notre Dame,FB,72.0,236,4.72,25.0,34.0,106.0,4.07,7.48,1.0
1997,myron elzy,Central State (OH),DT,76.0,312,5.18,24.0,27.5,103.0,4.61,8.3,0.0
1997,charles emanuel,West Virginia,SS,71.3,203,4.78,17.0,33.0,110.0,4.23,7.64,0.0
1997,donnie embra,Baylor,DT,74.9,286,5.01,20.0,30.5,110.0,4.45,8.16,0.0
1997,bill ennisinge,Iowa,DE,76.0,260,5.0,26.0,32.0,,,,0.0
1997,terrell farley,Nebraska,SS,71.6,198,,6.0,,,,,0.0
1997,james farrior,Virginia,OLB,73.8,234,,22.0,35.5,120.0,4.4,7.62,1.0
1997,jason ferguson,Georgia,DT,75.1,317,5.39,,27.5,,,,1.0
1997,john fiala,Washington,ILB,74.0,232,4.9,21.0,31.0,109.0,4.22,7.38,1.0
1997,matt finkes,Ohio State,DE,74.9,272,4.94,15.0,28.5,99.0,4.29,7.66,1.0
1997,pat fitzgerald,Northwestern,ILB,74.0,235,,19.0,,,,,1.0
1997,pat fitzgerald,Texas,TE,74.1,237,5.0,19.0,29.5,107.0,4.25,7.58,1.0
1997,todd fordham,Florida State,OT,77.6,307,,25.0,,,,,0.0
1997,lance funderburk,Valdosta State (GA),QB,76.4,227,5.23,,27.0,97.0,,,0.0
1997,sam garnes,Cincinnati,FS,75.1,225,4.78,14.0,30.5,102.0,4.38,7.48,1.0
1997,spencer george,Rice (TX),RB,69.0,198,4.54,22.0,41.5,127.0,4.03,7.28,0.0
1997,cory gilliard,Ball State (IN),OLB,72.4,218,4.55,16.0,,,,,1.0
1997,tarik glenn,California,OT,77.3,354,5.75,20.0,23.0,,,,1.0
1997,tony gonzalez,California,TE,76.1,244,4.83,,33.5,116.0,4.06,7.75,1.0
1997,jay graham,Tennessee,RB,71.6,215,4.46,22.0,36.0,117.0,4.05,7.28,1.0
1997,torrian gray,Virginia Tech,SS,71.6,203,4.5,22.0,,,,,1.0
1997,yatil green,Miami (FL),WR,74.9,199,4.41,,40.5,130.0,4.17,7.52,1.0
1997,jay hagood,Virginia Tech,OT,76.4,312,5.4,16.0,29.0,105.0,5.11,8.79,0.0
1997,james hamilton,North Carolina,OLB,76.9,236,4.84,,35.0,125.0,4.43,7.52,1.0
1997,michael hamilton,North Carolina A&T,OLB,73.8,243,4.72,18.0,32.0,112.0,4.82,8.32,0.0
1997,byron hanspard,Texas Tech,RB,70.5,198,4.41,,,,,,1.0
1997,patrick hape,Alabama,TE,75.9,253,4.97,,33.0,112.0,4.15,7.71,1.0
1997,jon harris,Virginia,DE,79.6,269,,19.0,35.0,114.0,,,1.0
1997,kenny harris,North Carolina State,SS,73.9,204,4.75,8.0,39.0,124.0,4.24,7.39,0.0
1997,marcus harris,Wyoming,WR,73.4,213,4.68,,34.0,112.0,4.09,7.42,1.0
1997,kim herring,Penn State,FS,71.4,199,4.6,11.0,32.0,116.0,4.11,7.12,1.0
1997,jon hesse,Nebraska,ILB,75.9,249,4.94,13.0,35.0,112.0,4.64,7.74,1.0
1997,chris hewitt,Cincinnati,SS,71.9,212,4.78,10.0,,,,,0.0
1997,anthony hicks,Middle Tennessee State,ILB,74.0,240,4.98,28.0,34.0,114.0,4.34,7.73,1.0
1997,van hiles,Kentucky,CB,71.1,186,4.78,10.0,35.0,116.0,4.26,7.24,1.0
1997,kenny holmes,Miami (FL),DE,75.6,264,4.71,,33.0,,,,1.0
1997,priest holmes,Texas,RB,68.9,213,4.73,18.0,33.0,115.0,4.14,7.4,0.0
1997,ty howard,Ohio State,CB,69.5,186,,13.0,,,,,1.0
1997,jarrett irons,Michigan,ILB,73.0,242,4.91,25.0,30.0,107.0,4.53,7.97,0.0
1997,hudhaifa ismaeli,Northwestern,CB,71.0,191,4.57,,33.0,114.0,4.15,7.21,1.0
1997,waverly jackson,Virginia Tech,DT,74.3,299,5.08,32.0,30.5,104.0,,,0.0
1997,mitch jacoby,Northern Illinois,TE,76.5,247,4.96,21.0,32.5,112.0,4.5,7.81,0.0
1997,edward jasper,Texas A&M,DT,74.9,295,5.34,,26.0,92.0,4.72,8.84,1.0
1997,kerry jenkins,Troy (AL),OT,77.6,296,5.39,15.0,24.5,102.0,4.92,8.32,0.0
1997,bryan jennings,Virginia Tech,TE,75.8,258,4.91,18.0,29.5,107.0,4.54,7.89,0.0
1997,aj johnson,Maryland,CB,69.5,170,4.69,7.0,31.0,108.0,4.03,7.67,0.0
1997,alonzo johnson,Central State (OH),WR,71.1,183,4.67,,33.0,116.0,4.28,7.46,0.0
1997,leon johnson,North Carolina,RB,71.8,209,4.68,,34.0,118.0,4.31,7.82,1.0
1997,damon jones,Southern Illinois,TE,77.6,287,4.86,19.0,33.5,116.0,4.44,7.68,1.0
1997,george jones,San Diego State,RB,68.6,204,4.58,,35.0,115.0,4.38,7.82,1.0
1997,greg jones,Colorado,OLB,76.1,241,4.82,19.0,38.0,129.0,4.19,7.48,1.0
1997,walter jones,Florida State,OT,76.9,301,5.09,,30.5,108.0,4.73,8.23,1.0
1997,ndukwe kalu,Rice (TX),DE,75.8,246,4.92,23.0,39.0,121.0,4.13,7.55,1.0
1997,ben kaufman,Texas Tech,OG,76.1,289,5.6,13.0,23.0,99.0,,,0.0
1997,rob kelly,Ohio State,FS,74.1,199,4.62,,30.5,107.0,4.03,7.3,1.0
1997,matt keneley,Southern California,DT,76.4,286,5.38,18.0,27.5,103.0,4.69,7.98,1.0
1997,randy kinder,Notre Dame,RB,72.9,207,4.46,,31.0,120.0,4.17,7.4,0.0
1997,sammy knight,Southern California,OLB,71.8,203,4.9,,31.5,108.0,4.31,7.25,0.0
1997,tom knight,Iowa,CB,71.3,196,4.5,19.0,35.5,118.0,4.17,7.09,1.0
1997,brian knuckles,Western Illinois,RB,70.3,206,4.65,3.0,34.0,113.0,4.3,7.64,0.0
1997,tim kohn,Iowa State,OT,77.3,313,5.31,25.0,32.0,111.0,4.37,7.9,1.0
1997,paul lacoste,Mississippi State,OLB,73.1,227,4.74,17.0,32.0,116.0,4.3,7.46,0.0
1997,david lafleur,Louisiana State,TE,79.1,280,4.84,17.0,30.5,112.0,,,1.0
1997,fred lane,Lane College (TN),RB,69.6,209,4.75,19.0,31.0,116.0,4.18,7.39,0.0
1997,kenard lang,Miami (FL),DE,76.1,277,4.83,20.0,33.5,112.0,4.59,8.14,1.0
1997,tony lanier,Virginia State,WR,71.5,172,4.67,,33.5,120.0,4.19,7.09,0.0
1997,steve lee,Indiana,FB,72.8,259,4.83,25.0,33.5,109.0,4.37,7.79,1.0
1997,ronald leshinski,Army,TE,74.3,246,4.87,14.0,31.5,108.0,4.29,7.51,0.0
1997,chad levitt,Cornell (NY),RB,73.1,233,4.61,19.0,34.5,122.0,4.19,7.41,1.0
