year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,wonaward,outland,drafted
2013,chance warmack,Alabama,OG,74,317,5.49,,,110,,,1,0,Y
2014,gabe ikard,Oklahoma,C,75.63,304,5.13,22,26,102,4.37,7.3,1,0,N
2015,reese dismukes,Auburn,C,74.75,296,5.31,23,27.5,107,4.7,8.14,1,0,N
2015,laken tomlinson,Duke,OG,75,323,5.33,25,31.5,103,4.87,8.17,1,0,Y
2016,taylor decker,Ohio State,OT,79,310,5.23,20,29,101,4.76,7.7,1,0,Y
2016,spencer drango,Baylor,OG,77.63,315,5.27,30,27,100,4.66,7.88,1,0,Y
2016,ryan kelly,Alabama,C,76,311,5.03,26,30,103,4.59,7.58,1,0,Y
2016,ronnie stanley,Notre Dame,OT,77.75,312,5.2,,28.5,,4.9,8.03,1,0,Y
2017,pat elflein,Ohio State,C,74.75,303,5.32,22,23.5,99,4.71,7.94,1,0,Y
2017,ryan ramczyk,Wisconsin,OT,77.75,310,,25,,,4.82,,1,0,Y
2018,orlando brown,Oklahoma,OT,80,345,5.85,14,19.5,82,5.38,7.87,1,0,Y
2018,quenton nelson,Notre Dame,OG,77,325,,35,26.5,105,4.62,7.65,1,0,Y
1997,winston alderson,Arkansas,OT,76.1,344,5.6,,24.5,92,5.25,8.85,0,0,N
1997,brad badger,Stanford,OG,76.4,296,5.22,21,32.5,111,4.13,,0,0,Y
1997,ben bordelon,Louisiana State,OT,77.1,298,5.42,22,28,104,4.73,8.25,0,0,N
1997,lamont burns,East Carolina (NC),OG,75.6,299,5.32,30,28.5,109,4.7,,0,0,Y
1997,calvin collins,Texas A&M,OG,73.6,307,5.19,22,28,102,4.61,,0,0,Y
1997,billy conaty,Virginia Tech,C,74.5,300,5.45,25,29,,,,0,0,N
1997,jerome daniels,Northeastern (MA),OT,77.1,356,5.63,25,27.5,,,,0,0,Y
1997,allen degraffenreid,Vanderbilt,OT,76.3,298,5.22,27,30,108,,,0,0,N
1997,damon denson,Michigan,OG,75.5,303,,18,,,,,0,0,Y
1997,chris dishman,Nebraska,OG,74.6,328,5.52,22,27,93,,,0,0,Y
1997,todd fordham,Florida State,OT,77.6,307,,25,,,,,0,0,N
1997,tarik glenn,California,OT,77.3,354,5.75,20,23,,,,0,0,Y
1997,jay hagood,Virginia Tech,OT,76.4,312,5.4,16,29,105,5.11,8.79,0,0,N
1997,kerry jenkins,Troy (AL),OT,77.6,296,5.39,15,24.5,102,4.92,8.32,0,0,N
1997,walter jones,Florida State,OT,76.9,301,5.09,,30.5,108,4.73,8.23,0,0,Y
1997,ben kaufman,Texas Tech,OG,76.1,289,5.6,13,23,99,,,0,0,N
1997,tim kohn,Iowa State,OT,77.3,313,5.31,25,32,111,4.37,7.9,0,0,Y
1997,adam meadows,Georgia,OT,76.9,297,5.04,,30,107,4.47,7.72,0,0,Y
1997,frank middleton,Arizona,OG,75.3,324,5.21,22,27,106,4.85,8.33,0,0,Y
1997,jeff mitchell,Florida,C,76.3,307,,33,,,,,0,0,Y
1997,larry moore,Brigham Young,OG,74.6,292,5.52,21,27.5,105,4.84,8.61,0,0,N
1997,jamie nails,Florida A&M,OT,78.1,387,5.77,37,21.5,93,5.4,9.18,0,0,Y
1997,brian newnam,Tulsa (OK),OG,75.4,291,5.35,31,29,109,4.75,8.4,0,0,N
1997,daniel palmer,Air Force,C,76.3,290,5.05,21,33.5,127,4.62,8.2,0,0,Y
1997,nathan parks,Stanford,OG,77.4,307,5.44,,24.5,99,4.56,8,0,0,Y
1997,rod payne,Michigan,C,75.5,303,5.64,28,24,,,,0,0,Y
1997,harvey pennypacker,Syracuse,C,75.5,287,,26,,,,,0,0,N
1997,todd perkins,Texas A&M-Kingsville,OT,75.5,292,5.38,27,28.5,101,4.77,8.73,0,0,N
1997,juan porter,Ohio State,C,75.5,302,5.33,,26.5,88,4.74,8.63,0,0,N
1997,tony ramirez,Northern Colorado,OT,77.9,296,,29,,,,,0,0,Y
1997,scott rehberg,Central Michigan,OG,79.8,324,,26,,,,,0,0,Y
1997,raleigh roundtree,South Carolina State,OT,76.6,295,5.4,14,24,87,4.93,8.48,0,0,Y
1997,scott sanderson,Washington State,OT,78.1,290,5.29,18,25.5,92,4.87,7.97,0,0,Y
1997,bob sapp,Washington,OG,76.4,303,5.19,30,29.5,116,4.62,8.3,0,0,Y
1997,steve scifres,Wyoming,OG,75.9,294,5.45,33,30,105,4.53,7.95,0,0,Y
