year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,defint,defyds,defavg,deftds,hasbling,allamerican,hasawards,drafted
1999,jermaine jones,Northwestern State (LA),CB,67.6,180,4.51,12,38.5,116,3.96,6.79,,,,,0,0,0,Y
1999,marvin love,Kentucky,CB,68.6,164,4.49,,35.5,123,4.09,7.09,,,,,0,0,0,N
1999,deshone mallard,Southern Mississippi,CB,69.6,186,4.51,10,35.5,117,4.25,7.31,1,9,9,0,0,0,0,N
1999,chris mcalister,Arizona,CB,73.1,206,4.53,,38,121,4.08,6.9,15,212,14.1,2,1,1,1,Y
1999,daylon mccutcheon,Southern California,CB,68.8,180,4.52,13,36,117,4.35,7.21,10,189,18.9,1,0,0,0,Y
1999,paul miranda,Central Florida,CB,69.9,180,4.41,11,40.5,124,4.1,7.18,2,72,36,1,0,0,0,Y
1999,donald mitchell,Southern Methodist (TX),CB,69.8,187,4.51,24,37,118,4.08,6.87,6,63,10.5,0,0,0,0,Y
1999,dee moronkola,Washington State,CB,69.3,204,4.46,17,33.5,111,4.12,7.11,7,42,6,0,0,0,0,Y
1999,gerald neasman,Kansas State,CB,69.6,186,4.67,10,31.5,112,4.41,7.96,2,47,23.5,1,0,0,0,N
1999,anthony parker,Weber State (UT),CB,72.6,197,4.39,8,31,113,4.27,7.56,,,,,0,0,0,Y
1999,jacoby rhinehart,Southern Methodist (TX),CB,70.4,187,4.59,,34,120,4.11,6.91,8,11,1.4,0,0,0,0,Y
1999,ty talton,Northern Iowa,CB,71.6,202,4.62,17,39,117,4,6.96,,,,,0,0,0,N
1999,fred vinson,Vanderbilt,CB,70.6,177,4.39,14,36,121,4.17,7.21,4,39,9.8,0,0,0,0,Y
1999,chris watson,Eastern Illinois,CB,73,191,4.34,18,37,124,3.86,6.8,,,,,0,0,0,Y
1999,andre weathers,Michigan,CB,71.9,189,4.67,,32,119,4.03,7.03,5,79,15.8,1,0,0,0,Y
1999,antoine winfield,Ohio State,CB,68.6,176,4.41,,37,122,3.95,6.84,3,52,17.3,0,1,1,1,Y
2000,rashard anderson,Jackson State (MS),CB,74.4,206,4.59,,34,123,4.15,7.18,,,,,0,0,0,Y
2000,reggie austin,Wake Forest,CB,69.4,175,4.46,17,35,119,4.14,7.03,9,62,6.9,0,0,0,0,Y
2000,david barrett,Arkansas,CB,69.9,199,4.48,16,37.5,116,4.04,6.81,7,119,17,1,0,0,0,Y
2000,william bartee,Oklahoma,CB,73,192,4.43,,38.5,124,3.99,6.7,2,-3,-1.5,0,0,0,0,Y
2000,robert bean,Mississippi State,CB,71,178,4.5,,34.5,122,4.2,6.87,6,169,28.2,1,0,0,0,Y
2000,ralph brown,Nebraska,CB,69.9,204,4.6,14,36,116,4.01,6.93,11,253,23,1,1,1,1,Y
2000,david byrd,Syracuse,CB,71.4,202,4.55,14,36,117,4.39,7.18,1,0,0,0,0,0,0,N
2000,ike charlton,Virginia Tech,CB,71.1,205,4.47,16,,126,,,8,143,17.9,2,0,0,0,Y
2000,renard cox,Maryland,CB,71.4,192,4.72,13,38,111,,7.1,2,47,23.5,0,0,0,0,N
2000,sedrick curry,Texas A&M,CB,73.5,197,4.47,,39,125,3.94,6.34,9,72,8,0,0,0,0,N
2000,mario edwards,Florida State,CB,72.1,191,4.46,32,32.5,120,4.55,7.44,6,109,18.2,0,0,0,0,Y
2000,lamar grant,Duke,CB,70.8,188,4.66,16,32,117,4.3,7.3,7,32,4.6,0,0,0,0,N
2000,brian gray,Brigham Young,CB,73.3,214,4.95,19,33.5,116,4.24,7.38,5,103,20.6,2,0,0,0,N
