year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2017,drew morgan,Arkansas,WR,71.75,190,4.74,10,30,112,4.12,6.85,N
2006,ed hinkel,Iowa,WR,72.25,190,4.55,,34,116,4.1,6.97,N
2016,johnny holton,Cincinnati,WR,72.63,190,4.54,8,31.5,123,,,N
2011,jeff maehl,Oregon,WR,72.88,190,4.56,,33.5,115,3.94,6.42,N
2011,darvin adams,Auburn,WR,74.13,190,4.56,,,,,,N
2001,margin hooks,Brigham Young,WR,70.6,191,4.46,,36,116,4.18,7.08,N
2005,josh davis,Marshall (WV),WR,72.38,191,4.55,,37.5,118,4.22,7.19,N
2015,josh harper,Frenso State (CA),WR,72.88,191,4.64,13,32,108,4.36,7.15,N
1999,creig spann,Arizona State,WR,73,191,4.5,,36.5,117,3.86,7.1,N
2000,bashir yamini,Iowa,WR,75.3,191,4.55,,33,130,4.18,7.09,N
2018,quadree henderson,Pittsburgh,WR,68,192,4.5,12,32.5,120,4.28,6.89,N
2017,keevan lucas,Tulsa (OK),WR,69.13,192,4.55,11,32.5,119,4.43,7.23,N
2014,michael campanaro,Wake Forest,WR,69.38,192,4.46,20,39,122,4.01,6.77,N
2005,steve savoy,Utah,WR,70.88,192,4.66,,,,,,N
2004,andrae thurman,Southern Oregon,WR,71.3,192,4.53,,34.5,121,4.3,7.31,N
2015,deon long,Maryland,WR,71.63,192,4.51,12,34,120,4.27,6.98,N
1999,donnie hart,Texas Tech,WR,73,192,4.54,,32,111,4.16,7.13,N
2016,d.j. foster,Arizona State,WR,70.25,193,4.57,14,35.5,117,4.07,6.75,N
2017,artavis scott,Clemson,WR,70.25,193,4.61,13,31,116,4.49,7.19,N
2015,deandrew white,Alabama,WR,71.5,193,4.44,,34.5,118,4.18,6.97,N
2007,drisan james,Boise State,WR,72,193,4.58,14,39,129,4.39,7.09,N
2017,michael rector,Stanford,WR,72.13,193,4.42,,36.5,129,4.19,6.77,N
2011,mark dell,Michigan State,WR,72.25,193,4.54,14,,,,,N
2004,kendrick starling,San Jose State,WR,72.6,193,4.5,,31.5,119,3.87,6.88,N
2013,kenbrell thompkins,Cincinnati,WR,72.63,193,4.54,8,33.5,121,4.21,6.88,N
2008,dj hall,Alabama,WR,73.88,193,4.62,,29.5,122,,,N
2008,davone bess,Hawaii,WR,69.88,194,4.77,12,31.5,118,4.27,6.97,N
2005,charles frederick,Washington,WR,70.75,194,4.78,,33,108,4.25,7.41,N
1998,macarthur johnson,Howard (DC),WR,71.3,194,4.64,,28,111,4.34,7.3,N
2005,howard gilmore,Norfolk State (VA),WR,72,194,4.74,,36,113,4.44,7.56,N
2014,willie snead,Ball State (IN),WR,71,195,4.62,11,33.5,112,4.39,7.19,N
2006,jovon bouknight,Wyoming,WR,73.38,195,4.73,,34,120,4.03,6.93,N
2011,owen spencer,North Carolina State,WR,73.88,195,4.51,6,37.5,125,4.18,6.86,N
2017,jamari staples,Louisville,WR,75,195,4.51,,36,130,4.14,,N
2014,ldamian washington,Missouri,WR,75.88,195,4.46,8,32,114,4.35,7.19,N
2009,quan cosby,Texas,WR,68.63,196,4.5,,,,4.47,7.28,N
2002,ryan tolhurst,Richmond (VA),WR,71.1,196,4.46,,38,122,3.88,6.65,N
2012,chris owusu,Stanford,WR,72.13,196,4.31,19,40.5,129,4.11,6.85,N
2012,jerrell jackson,Missouri,WR,72.25,196,4.5,22,41,127,4.11,6.82,N
2013,conner vernon,Duke,WR,72.25,196,4.68,,32.5,125,4.22,6.93,N
2000,scottie montgomery,Duke,WR,72.4,196,4.58,,36,117,4.11,7.16,N
2009,kevin ogletree,Virginia,WR,72.5,196,4.36,,36,122,4.08,6.67,N
2015,titus davis,Central Michigan,WR,72.75,196,4.51,,32.5,119,4.28,7.14,N
2018,robert foster,Alabama,WR,74,196,4.41,,31,116,4.2,6.9,N
2016,geronimo allison,Illinois,WR,75.25,196,4.67,,33,127,4.28,7.4,N
2016,bralon addison,Oregon,WR,69.25,197,4.66,13,34.5,116,4.14,6.95,N
1999,joe nastasi,Penn State,WR,70.4,197,4.66,,37,116,4.06,7.12,N
2011,orenthal murdock,Fort Hays State (KS),WR,70.5,197,4.53,15,34.5,116,4.37,,N
2014,mike davis,Texas,WR,72,197,4.52,10,34,116,4.18,7,N
1998,octavus barnes,North Carolina,WR,72.4,197,4.65,,25,111,4.48,7.91,N
1999,jeremy mcdaniel,Arizona,WR,72.5,197,4.63,,33.5,112,4.32,7.3,N
2004,lane Danielsen,Iowa State,WR,73,197,4.6,,31,117,4.07,6.73,N
2017,quincy adeboyejo,Mississippi,WR,74.75,197,4.42,8,34.5,123,4.14,6.73,N
2004,john standeford,Purdue,WR,75.1,197,4.63,,32.5,113,4.08,6.9,N
2003,reno mahe,Brigham Young,WR,69.3,198,4.71,,32,109,4.14,7.27,N
2000,larry foster,Louisiana State,WR,69.9,198,4.57,,37,121,4.06,6.88,N
2014,odell beckham,Louisiana State,WR,71.25,198,4.43,7,38.5,122,3.94,6.69,N
2016,hunter sharp,Utah State,WR,71.5,198,4.58,12,32.5,116,4.19,7.12,N
2015,rannell hall,Central Florida,WR,72.38,198,4.6,16,41,132,4.15,6.86,N
2014,allen hurns,Miami (FL),WR,73.25,198,4.55,14,31,120,4.5,7.23,N
