year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1998,myron smith,Louisiana Tech,OLB,72.9,225,4.58,12.0,34.5,118.0,4.27,7.96,N
1998,travian smith,Oklahoma,OLB,75.9,238,4.44,15.0,32.5,120.0,,7.66,Y
1998,takeo spikes,Auburn,ILB,72.9,234,,27.0,37.0,124.0,4.14,7.84,Y
1998,derek strey,Eastern Washington,ILB,73.8,252,4.84,30.0,30.0,106.0,4.31,7.65,N
1998,jeremiah trotter,Stephen F. Austin (TX),ILB,72.5,261,4.68,32.0,34.0,117.0,4.14,7.62,Y
1998,zack walz,Dartmouth (NH),OLB,75.9,228,4.79,13.0,33.5,116.0,4.11,7.42,Y
1998,vaughn washington,Houston,OLB,74.1,248,,28.0,,,,,N
1999,rahim abdullah,Clemson,OLB,77.1,244,4.88,17.0,34.0,117.0,4.36,7.24,Y
1999,brendon ayanbadejo,UCLA,OLB,73.0,234,4.67,18.0,36.0,117.0,4.36,7.57,N
1999,eric barton,Maryland,ILB,74.8,247,4.68,20.0,32.0,112.0,4.32,7.6,Y
1999,chris claiborne,Southern California,ILB,74.4,248,4.63,16.0,34.0,115.0,4.37,7.68,Y
1999,tony damato,Utah State,ILB,71.0,240,4.77,34.0,30.0,106.0,4.4,7.5,N
1999,antico dalton,Hampton (VA),OLB,73.1,242,4.76,30.0,35.0,113.0,4.32,7.49,Y
1999,jay foreman,Nebraska,ILB,73.3,241,4.68,20.0,36.0,117.0,4.16,7.2,Y
1999,barry gardner,Northwestern,ILB,72.4,242,4.72,25.0,33.0,113.0,4.32,7.42,Y
1999,marquis gibson,Missouri,OLB,74.0,227,4.68,15.0,33.0,115.0,4.3,7.39,N
1999,phil glover,Utah,OLB,71.6,239,4.7,26.0,36.5,116.0,4.36,7.67,Y
1999,lamont green,Florida,OLB,75.0,226,4.76,18.0,33.0,114.0,4.48,7.66,N
