year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1999,marquis smith,California,SS,74.4,218,4.6,,39.5,130.0,4.12,7.31,Y
1999,myron terry,Colorado State,FS,74.0,203,4.72,21.0,35.0,117.0,4.16,7.2,N
1999,eric thigpen,Iowa,FS,72.1,198,4.76,14.0,35.0,114.0,4.26,7.37,Y
1999,ricky thompson,Oklahoma State,FS,71.9,181,4.73,15.0,36.0,118.0,4.32,7.21,N
1999,brad ware,Auburn,FS,73.9,207,4.53,18.0,37.0,116.0,4.25,7.34,Y
1999,marcus washington,Colorado,FS,73.8,219,4.65,16.0,37.0,117.0,4.44,7.4,Y
2000,rashidi barnes,Colorado,FS,71.6,208,4.63,10.0,35.0,114.0,4.32,6.92,Y
2000,rogers beckett,Marshall (WV),FS,73.5,207,4.64,15.0,39.5,119.0,4.29,6.48,Y
2000,matt bowen,Iowa,SS,73.1,201,4.51,12.0,33.0,115.0,4.09,7.06,Y
2000,mike brown,Nebraska,SS,69.9,204,4.6,14.0,36.0,116.0,4.01,6.93,Y
2000,tyrone carter,Minnesota,SS,67.6,190,4.53,16.0,41.0,121.0,4.19,6.75,Y
2000,ashley cooper,Mississippi State,SS,70.3,208,4.69,16.0,,117.0,,,N
2000,todd franz,Tulsa (OK),FS,73.0,199,4.55,14.0,,,,,Y
2000,arturo freeman,South Carolina,FS,72.4,188,4.58,14.0,35.5,124.0,4.38,6.91,Y
2000,trent gamble,Wyoming,FS,69.3,186,4.58,21.0,37.0,124.0,3.9,6.6,N
2000,deon grant,Tennessee,SS,73.8,209,4.5,15.0,,,,,Y
2000,mike green,Northwestern State (LA),FS,72.1,189,4.56,,38.5,118.0,4.2,,Y
2000,brandon jennings,Texas A&M,FS,72.4,198,4.54,16.0,38.0,123.0,4.14,6.91,N
2000,eric johnson,Nebraska,SS,72.0,215,4.63,12.0,38.0,121.0,4.17,6.96,N
2000,tinker keck,Cincinnati,SS,73.3,200,4.58,15.0,36.5,120.0,4.31,6.96,N
2000,kenoy kennedy,Arkansas,FS,73.0,221,4.71,8.0,33.5,113.0,4.38,7.08,Y
2000,sean key,Florida State,FS,70.6,188,4.67,,,,4.2,7.12,N
2000,aric morris,Michigan State,SS,69.4,211,4.56,24.0,,,,,Y
2000,bobby myers,Wisconsin,FS,73.3,183,4.59,,37.5,123.0,4.1,7.04,Y
2000,erik olson,Colorado,SS,73.0,208,4.63,17.0,35.0,115.0,4.21,6.81,Y
2000,dwyte smiley,Youngstown State (OH),FS,73.0,198,4.61,13.0,35.0,115.0,4.29,7.18,N
2000,travares tillman,Georgia Tech,FS,73.3,194,4.6,15.0,37.5,123.0,4.29,6.95,Y
2000,jack williams,Azusa Pacific (CA),SS,70.3,206,4.74,15.0,31.5,108.0,4.65,7.15,N
