year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2000,dave stachelski,Boise State,TE,75.1,250,4.85,24.0,38.0,115.0,4.14,6.84,Y
2000,jay tant,Northwestern,TE,75.0,255,4.75,31.0,,,,,Y
2000,james whalen,Kentucky,TE,74.5,228,4.79,,31.0,110.0,4.22,7.42,Y
2000,austin wheatley,Iowa,TE,75.9,254,4.69,,32.5,121.0,4.18,6.97,Y
2001,billy baber,Virginia,TE,75.6,255,4.77,22.0,33.0,106.0,4.19,7.12,Y
2001,sean brewer,San Jose State,TE,75.8,255,4.75,14.0,36.0,117.0,4.18,7.37,Y
2001,elliott carson,Vanderbilt,TE,76.5,246,4.96,16.0,36.0,115.0,4.21,7.52,N
2001,alge crumpler,North Carolina,TE,74.5,266,4.79,22.0,34.0,112.0,4.43,7.38,Y
2001,dauntae finger,North Carolina,TE,76.0,262,5.09,15.0,33.5,103.0,4.59,7.95,Y
2001,antoine harris,Southern California,TE,75.4,260,4.93,11.0,26.0,,,,N
2001,todd heap,Arizona State,TE,76.6,252,4.68,22.0,32.0,,,,Y
2001,jabari holloway,Notre Dame,TE,74.4,253,4.94,20.0,38.5,113.0,4.4,7.14,Y
2001,jevaris johnson,Georgia,TE,77.5,257,4.9,18.0,29.0,,,,N
2001,arther love,South Carolina State,TE,75.6,236,4.85,24.0,36.0,,,,Y
2001,brandon manumaleuna,Arizona,TE,74.1,275,5.0,,30.0,106.0,4.26,7.49,Y
2001,shad meier,Kansas State,TE,77.0,256,4.84,20.0,34.0,113.0,4.15,7.14,Y
2001,brian natkin,Texas-El Paso,TE,74.1,251,5.04,20.0,27.0,98.0,4.59,7.78,N
2001,dan oleary,Notre Dame,TE,76.0,252,5.02,16.0,32.0,113.0,4.31,7.4,Y
2001,ryan prince,Weber State (UT),TE,76.4,257,4.98,20.0,31.0,102.0,4.45,7.65,N
2001,marcellus rivers,Oklahoma State,TE,76.4,247,4.86,7.0,32.5,113.0,4.25,7.04,N
2001,mike roberg,Idaho,TE,76.4,256,4.75,16.0,34.5,117.0,4.4,7.28,Y
2001,russell stewart,Stanford,TE,76.1,251,4.98,17.0,28.5,106.0,4.3,7.46,N
2001,tony stewart,Penn State,TE,77.5,256,4.97,,35.5,109.0,4.4,7.3,Y
2001,boo williams,Arkansas,TE,76.0,237,4.72,,35.5,119.0,4.33,7.1,N
2002,mark anelli,Wisconsin,TE,75.8,262,4.8,18.0,,,,,Y
2002,chris baker,Michigan State,TE,75.1,258,4.85,18.0,35.0,111.0,,6.95,Y
2002,mike banks,Iowa State,TE,76.0,260,4.85,,31.5,104.0,,,Y
2002,dwayne blakley,Missouri,TE,76.9,256,5.0,21.0,32.5,107.0,4.29,7.33,N
2002,daniel graham,Colorado,TE,75.1,248,4.64,,36.0,116.0,,,N
2002,ryan hannam,Northern Iowa,TE,74.5,251,4.7,18.0,30.5,110.0,4.21,7.07,Y
2002,keith heinrich,Sam Houston State (TX),TE,77.5,255,4.75,21.0,35.0,119.0,4.1,6.87,Y
2002,doug jolley,Brigham Young,TE,76.3,251,4.67,18.0,38.0,114.0,4.18,6.9,Y
2002,terry jones,Alabama,TE,74.9,265,4.88,20.0,33.5,110.0,4.43,7.43,N
2002,chris luzar,Virginia,TE,79.1,270,4.77,22.0,32.5,113.0,4.17,6.84,Y
2002,ivory mccoy,Michigan State,TE,76.0,240,4.59,25.0,35.0,113.0,4.24,7.3,N
2002,randy mcmichael,Georgia,TE,75.0,247,4.84,18.0,29.5,111.0,4.28,7.56,Y
2002,josh norman,Oklahoma,TE,74.0,236,4.65,18.0,32.0,115.0,4.23,7.09,N
2002,john owens,Notre Dame,TE,75.0,265,4.77,21.0,38.5,115.0,,,Y
2002,justin peelle,Oregon,TE,76.4,255,4.78,21.0,29.0,109.0,4.29,7.34,Y
2002,robert royal,Louisiana State,TE,77.0,253,4.97,14.0,31.0,114.0,4.27,7.37,Y
2002,derek smith,Kentucky,TE,76.0,271,4.92,16.0,28.5,109.0,4.38,7.46,N
2002,tim stratton,Purdue,TE,76.0,251,5.0,15.0,27.0,100.0,,,N
2002,tracey wistrom,Nebraska,TE,76.1,245,4.95,17.0,33.5,113.0,4.1,7.09,Y
2003,sean berton,North Carolina State,TE,76.4,279,5.04,,31.0,107.0,4.35,7.18,N
2003,dallas clark,Iowa,TE,75.4,257,4.65,,37.5,123.0,,,Y
2003,dan curley,Eastern Washington,TE,76.0,254,4.68,17.0,35.5,118.0,4.44,7.47,Y
2003,zach hilton,North Carolina,TE,79.8,262,4.83,24.0,35.0,112.0,4.29,7.25,N
2003,robert johnson,Auburn,TE,77.6,278,4.96,18.0,33.5,115.0,4.42,7.13,N
2003,bennie joppru,Michigan,TE,76.3,272,4.78,19.0,30.5,109.0,,,N
2003,donald lee,Mississippi State,TE,75.3,249,4.79,26.0,39.0,120.0,4.37,7.4,Y
2003,spencer nead,Brigham Young,TE,76.5,259,4.89,19.0,28.5,102.0,4.24,7.37,Y
2003,mike pinkard,Arizona State,TE,76.9,259,4.69,,35.0,,,,N
2003,gabe reid,Brigham Young,TE,75.4,255,4.81,23.0,37.0,119.0,4.31,7.48,N
2003,mike seidman,UCLA,TE,76.5,261,4.8,20.0,,,,,Y
2003,visanthe shiancoe,Morgan State (MD),TE,76.4,251,4.64,28.0,39.5,120.0,4.28,7.09,Y
2003,lj smith,Rutgers,TE,75.3,258,4.69,26.0,37.0,122.0,4.18,6.74,Y
2003,trent smith,Oklahoma,TE,77.1,243,4.81,16.0,35.5,118.0,4.3,7.21,Y
2003,erick streelman,Nevada,TE,77.0,248,5.06,9.0,30.0,109.0,4.4,7.59,N
2003,ray thomas,Wake Forest,TE,76.4,248,5.05,17.0,31.0,113.0,4.52,7.47,N
2003,aaron walker,Florida,TE,77.6,252,4.75,24.0,33.5,115.0,4.27,7.55,Y
2003,kevin ware,Washington,TE,74.9,256,4.8,22.0,34.0,110.0,4.47,7.51,N
2003,jason witten,Tennessee,TE,77.8,264,4.65,25.0,31.0,,,,Y
2003,george wrighster,Oregon,TE,74.1,249,4.89,16.0,34.5,115.0,,7.24,Y
2003,doug zeigler,Mississippi,TE,76.0,257,4.7,20.0,,,,,N
2004,courtney anderson,San Jose State,TE,78.0,269,4.89,17.0,30.0,106.0,4.54,7.86,Y
2004,bobby blizzard,North Carolina,TE,76.0,266,4.89,12.0,,102.0,,,N
