year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,allamerican,hasawards,hasbling,scrimyds,scrimplays,scrimypa,scrimtds,drafted
1999,justin swift,Kansas State,TE,75.4,258,4.82,17,33,111,4.15,6.93,0,0,0,697,42,16.6,6,Y
1999,jerame tuman,Michigan,TE,75.9,248,4.89,23,33,107,4.2,7.17,0,0,0,1240,95,13.1,12,Y
1999,brian waters,North Texas,TE,74.1,281,4.99,26,32,113,4.63,7.52,0,0,0,1002,92,10.9,10,N
1999,jed weaver,Oregon,TE,76.3,246,4.91,19,31,106,4.17,7.16,0,0,0,677,43,15.7,6,Y
2000,kyle allamon,Texas Tech,TE,74.5,253,5.01,,29,104,4.49,7.29,0,0,0,489,25,19.6,4,N
2000,anthony becht,West Virginia,TE,77.6,270,4.78,,33.5,123,4.08,6.94,0,0,0,1178,83,14.2,11,Y
2000,casey crawford,Virginia,TE,77.9,244,4.83,18,,,,,0,0,0,500,36,13.9,1,N
2000,joedean davenport,Arkansas,TE,78.9,268,5.15,13,30,108,4.67,7.33,0,0,0,,,,,N
2000,zeron flemister,Iowa,TE,76.4,249,4.74,14,37,116,4.16,6.92,0,0,0,239,19,12.6,1,N
2000,jason gavadza,Kent State (OH),TE,75,249,4.62,22,32.5,113,4.3,7.15,0,0,0,1312,86,15.3,13,Y
2000,john jones,Indiana (PA),TE,76.3,248,4.64,13,38.5,125,4.43,7.33,0,0,0,,,,,N
2000,terrance mccaskey,Mississippi State,TE,78,271,5,,29,101,,,0,0,0,,,,,N
2000,carlos nuno,Brigham Young,TE,75.9,263,5.03,23,28,106,,,0,0,0,342,24,14.3,3,N
2000,dave stachelski,Boise State,TE,75.1,250,4.85,24,38,115,4.14,6.84,0,0,0,473,35,13.5,6,Y
2000,jay tant,Northwestern,TE,75,255,4.75,31,,,,,0,0,0,645,59,10.9,2,Y
2000,james whalen,Kentucky,TE,74.5,228,4.79,,31,110,4.22,7.42,1,1,1,1324,120,11,13,Y
2000,austin wheatley,Iowa,TE,75.9,254,4.69,,32.5,121,4.18,6.97,0,0,0,348,25,13.9,1,Y
2001,billy baber,Virginia,TE,75.6,255,4.77,22,33,106,4.19,7.12,0,0,0,544,54,10.1,5,Y
2001,sean brewer,San Jose State,TE,75.8,255,4.75,14,36,117,4.18,7.37,0,0,0,580,56,10.4,5,Y
2001,elliott carson,Vanderbilt,TE,76.5,246,4.96,16,36,115,4.21,7.52,0,0,0,966,88,11,5,N
2001,alge crumpler,North Carolina,TE,74.5,266,4.79,22,34,112,4.43,7.38,0,0,0,760,68,11.2,6,Y
