year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,allamerican,hasawards,hasbling,scrimyds,scrimplays,scrimypa,scrimtds,drafted
2010,ed dickson,Oregon,TE,76.25,249,4.59,23,34,115,4.59,7.32,0,0,0,1585,129,12.3,12,Y
2010,jim dray,Stanford,TE,76.75,246,4.82,17,,,,,0,0,0,455,41,11.1,7,Y
2010,brody eldridge,Oklahoma,TE,76.75,261,4.72,,31.5,,,,0,0,0,98,13,7.5,1,Y
2010,dedrick epps,Miami (FL),TE,76,246,4.72,19,,,,,0,0,0,634,49,12.9,6,Y
2010,garrett graham,Wisconsin,TE,75.13,243,4.71,20,34.5,112,4.35,7.09,0,0,0,1492,121,12.3,16,Y
2010,jimmy graham,Miami (FL),TE,78.25,260,4.53,,38.5,120,4.45,6.9,0,0,0,213,17,12.5,5,Y
2010,jermaine gresham,Oklahoma,TE,77.25,261,4.66,20,35,113,4.53,7.07,0,0,0,1634,112,14.6,26,Y
2010,rob gronkowski,Arizona,TE,78,258,4.68,23,,,,,0,0,0,1197,75,16,16,Y
2010,michael hoomanawanui,Illinois,TE,75.63,264,4.77,25,,,,,0,0,0,490,40,12.3,4,N
2010,anthony mccoy,Southern California,TE,76.5,259,4.71,19,35.5,113,4.57,6.99,0,0,0,756,47,16.1,3,Y
2010,tony moeaki,Iowa,TE,75,245,4.69,18,34,113,4.42,7.1,0,0,0,953,76,12.5,11,Y
2010,colin peek,Alabama,TE,77,252,4.92,19,,,,,0,0,0,561,51,11,4,N
2010,dennis pitta,Brigham Young,TE,76.5,245,4.68,27,34,113,4.17,6.72,1,1,1,2901,221,13.1,21,Y
2010,andrew quarless,Penn State,TE,77,254,4.68,23,32,112,,,0,0,0,1146,87,13.2,8,Y
2011,jordan cameron,Southern California,TE,77.25,254,4.53,23,37.5,119,4.03,6.82,0,0,0,132,17,7.8,1,Y
2011,charlie gantt,Michigan State,TE,76,252,4.85,27,30.5,112,4.4,7.15,0,0,0,951,65,14.6,9,N
2011,cameron graham,Louisville,TE,75.13,244,5,18,31,105,4.51,7.19,0,0,0,793,67,11.8,7,N
2011,virgil green,Nevada,TE,75.38,249,4.54,23,42.5,130,4.4,6.9,0,0,0,992,79,12.6,11,Y
2011,daniel hardy,Idaho,TE,75.75,249,4.77,18,,,,,0,0,0,1364,80,17.1,6,N
2011,rob housler,Florida Atlantic,TE,77.38,248,4.46,22,37,117,4.21,6.9,0,0,0,1336,83,16.1,9,N
2011,lance kendricks,Wisconsin,TE,74.88,243,4.65,25,34.5,122,4.15,6.94,1,1,1,1252,87,14.4,8,Y
2011,schuylar oordt,Northern Iowa,TE,77.75,261,4.63,18,36,119,4.25,6.83,0,0,0,,,,,N
2011,zach pianalto,North Carolina,TE,75.25,256,4.78,22,32,108,4.41,6.85,0,0,0,,,,,N
2011,allen reisner,Iowa,TE,74.25,248,4.9,14,28,108,4.59,7.31,0,0,0,834,69,12.1,4,N
2011,weslye saunders,South Carolina,TE,77.13,270,4.82,19,33.5,116,,,0,0,0,718,60,12,6,N
2011,lee smith,Marshall (WV),TE,77.75,266,4.94,25,29,108,4.28,7.16,0,0,0,791,76,10.4,3,Y
2011,luke stocker,Tennessee,TE,76.75,258,4.68,27,33,115,4.4,7.03,0,0,0,956,85,11.2,8,Y
2011,julius thomas,Portland State (OR),TE,76.63,246,4.64,16,35.5,111,4.31,6.96,0,0,0,,,,,Y
2011,dj williams,Arkansas,TE,74,245,4.59,20,33.5,111,4.51,7.29,0,1,0,1855,152,12.2,10,Y
2012,dwayne allen,Clemson,TE,75.13,255,4.85,27,32,110,4.37,7.12,1,1,1,1079,93,11.6,12,Y
2012,orson charles,Georgia,TE,74.5,251,4.83,35,,,,,0,0,0,1370,94,14.6,10,Y
2012,michael egnew,Missouri,TE,77.13,252,4.52,21,36,131,4.32,7.03,1,1,1,1340,150,8.9,8,Y
2012,rhett ellison,Southern California,TE,76.88,251,4.78,,31.5,109,,,0,0,0,466,54,8.6,6,Y
2012,coby fleener,Stanford,TE,78,247,4.52,27,,,,,0,0,0,1543,96,16.1,18,Y
2012,chase ford,Miami (FL),TE,79,255,4.78,,,,,,0,0,0,184,16,11.5,2,N
2012,ladarius green,Louisiana-Lafayette,TE,77.75,238,4.45,16,34.5,124,4.47,7.12,0,0,0,2221,150,14.8,22,Y
2012,james hanna,Oklahoma,TE,75.75,252,4.43,24,36,122,4.11,6.76,0,0,0,720,52,13.8,9,Y
2012,cory harkey,UCLA,TE,76,260,5.06,13,26.5,109,4.69,7.4,0,0,0,231,28,8.3,2,N
2012,david paulson,Oregon,TE,75.25,246,4.79,21,32,110,4.4,7.18,0,0,0,1041,67,15.5,10,Y
2012,deangelo peterson,Louisiana State,TE,75,243,4.69,18,36,121,,7.19,0,0,0,474,41,11.6,3,N
2012,nick provo,Syracuse,TE,75.25,237,4.78,,,,,,0,0,0,1028,93,11.1,9,N
2012,beau reliford,Florida State,TE,77,256,4.84,,,,,,0,0,0,376,36,10.4,3,N
2013,justice cunningham,South Carolina,TE,74.63,258,4.94,,31.5,116,4.45,7.12,0,0,0,581,50,11.6,1,Y
2013,tyler eifert,Notre Dame,TE,77.5,250,4.68,22,35.5,119,4.32,6.92,0,1,0,1840,140,13.1,11,Y
2013,zach ertz,Stanford,TE,77,249,4.76,24,30.5,111,4.47,7.08,1,1,1,1434,112,12.8,15,Y
2013,gavin escobar,San Diego State,TE,77.88,254,4.84,,32,114,4.31,7.07,0,0,0,1653,124,13.3,17,Y
2013,joseph fauria,UCLA,TE,79.38,259,4.82,17,,,,,0,0,0,1139,88,12.9,20,N
2013,matt furstenburg,Maryland,TE,75.63,242,4.62,18,35.5,115,4.35,7.09,0,0,0,,,,,N
2013,chris gragg,Arkansas,TE,74.75,244,4.5,18,37.5,125,4.51,7.08,0,0,0,1003,72,13.9,7,Y
2013,marqueis gray,Minnesota,TE,75.25,240,4.73,15,30,111,4.3,7.25,0,0,0,2497,401,6.2,18,N
2013,nick kasa,Colorado,TE,77.88,269,4.71,22,31.5,113,,,0,0,0,399,26,15.3,3,Y
2013,travis kelce,Cincinnati,TE,77,257,4.63,,,,,,0,0,0,922,67,13.8,12,Y
2013,philip lutzenkirchen,Auburn,TE,75.25,258,4.94,21,30.5,112,4.35,7.15,0,0,0,628,59,10.6,14,N
2013,vance mcdonald,Rice (TX),TE,76.13,267,4.69,31,33.5,119,4.53,7.08,0,0,0,1556,126,12.3,15,Y
2013,chris pantale,Boston College,TE,77.13,254,4.99,17,33.5,110,4.5,7.48,0,0,0,986,98,10.1,7,N
2013,jordan reed,Florida,TE,74.5,236,4.72,16,,,,,0,0,0,1273,156,8.2,11,Y
2013,mychal rivera,Tennessee,TE,75.25,242,4.81,17,31,112,4.43,7.17,0,0,0,1018,76,13.4,6,Y
2013,dion sims,Michigan State,TE,76.88,262,4.75,22,35,112,4.52,7.36,0,0,0,705,60,11.8,8,Y
2013,jake stoneburner,Ohio State,TE,75.38,252,4.65,18,34.5,116,4.27,7.12,0,0,0,714,53,13.5,13,N
2013,levine toilolo,Stanford,TE,80,260,4.86,17,31,113,4.57,7.09,0,0,0,763,50,15.3,10,Y
2014,jace amaro,Texas Tech,TE,77.38,265,4.74,28,33,116,4.3,7.42,1,1,1,1818,138,13.2,13,Y
2014,joe don duncan,Dixie State (UT),TE,74.63,268,4.79,35,,,,,0,0,0,,,,,N
2014,eric ebron,North Carolina,TE,76.38,250,4.6,24,32,120,,,0,0,0,1812,114,15.9,8,Y
2014,cj fiedorowicz,Iowa,TE,77.5,265,4.76,25,31.5,115,4.26,7.1,0,0,0,899,91,9.9,10,Y
2014,crockett gillmore,Colorado State,TE,77.88,260,4.89,,33.5,120,4.44,7.42,0,0,0,1308,111,11.8,8,Y
2014,xavier grimble,Southern California,TE,76.25,257,4.76,,26.1,112,,,0,0,0,731,69,10.6,11,N
2014,nic jacobs,McNeese State (LA),TE,76.75,269,4.89,15,,,,,0,0,0,,,,,N
2014,marcel jensen,Frenso State (CA),TE,77.75,259,4.85,24,35,114,4.6,7.38,0,0,0,708,48,14.8,8,N
2014,ac leonard,Tennessee State,TE,74.38,252,4.5,20,34,127,,,0,0,0,99,8,12.4,0,N
2014,colt lyerla,Oregon,TE,75.88,242,4.61,15,39,127,,,0,0,0,659,50,13.2,13,N
2014,arthur lynch,Georgia,TE,76.63,258,4.82,28,29.5,115,4.35,7.38,0,0,0,907,56,16.2,8,Y
2014,jake murphy,Utah,TE,76,249,4.79,24,33,113,4.27,7.18,0,0,0,834,64,13,10,N
2014,jordan najvar,Baylor,TE,77.88,256,4.93,18,32.5,111,4.47,7.14,0,0,0,312,36,8.7,5,N
2014,troy niklas,Notre Dame,TE,78.5,270,4.84,27,32,113,4.55,7.57,0,0,0,573,37,15.5,6,Y
2014,richard rodgers,California,TE,76,257,4.87,16,31.5,115,4.47,7.23,0,0,0,905,66,13.7,2,Y
2014,austin seferianjenkins,Washington,TE,77.5,262,4.75,20,,,,,0,0,0,,,,,Y
2015,blake bell,Oklahoma,TE,78.25,252,4.8,14,33,116,4.32,6.85,0,0,0,845,197,4.3,28,Y
2015,nick boyle,Delaware,TE,76.5,268,5.04,20,30.5,112,4.23,7.13,0,0,0,,,,,Y
2015,gerald christian,Louisville,TE,75,244,4.87,28,,,4.7,7.62,0,0,0,882,64,13.8,10,Y
2015,jeff heuerman,Ohio State,TE,77.13,254,4.8,26,,,,,0,0,0,798,53,15.1,7,Y
2015,jesse james,Penn State,TE,79,261,4.83,26,37.5,121,4.5,7.53,0,0,0,1005,78,12.9,11,Y
2015,ben koyack,Notre Dame,TE,76.88,255,4.77,,,,,,0,0,0,532,44,12.1,5,Y
2015,tyler kroft,Rutgers,TE,77.5,246,4.69,17,,,,,0,0,0,901,70,12.9,5,Y
2015,mycole pruitt,Southern Illinois,TE,74.25,251,4.58,17,38,118,4.37,7.25,0,0,0,,,,,Y
2015,wes saxton,South Alabama,TE,75.38,248,4.65,,36,119,4.49,7.29,0,0,0,1126,96,11.7,1,N
2015,jean sifrin,Massachusetts,TE,77.25,245,4.84,,33,114,4.6,7.5,0,0,0,637,41,15.5,6,N
2015,randall telfer,Southern California,TE,75.75,250,4.77,20,,,,,0,0,0,648,65,10,12,Y
2015,eric tomlinson,Texas-El Paso,TE,77.63,263,4.98,19,30.5,110,4.54,7.46,0,0,0,547,59,9.3,4,N
2015,clive walford,Miami (FL),TE,76,251,4.79,20,35,120,4.57,7.32,0,0,0,1753,121,14.5,14,Y
2015,maxx williams,Minnesota,TE,76,249,4.78,17,34.5,117,4.37,7.3,0,0,0,993,62,16,13,Y
2016,jerell adams,South Carolina,TE,77.13,247,4.64,,32.5,117,4.31,7.05,0,0,0,977,66,14.8,7,Y
2016,stephen anderson,California,TE,74.13,230,,16,38,119,,,0,0,0,1260,101,12.5,7,N
2016,ben braunecker,Harvard,TE,75.38,250,4.73,20,35.5,121,4.2,6.9,0,0,0,,,,,N
2016,thomas duarte,UCLA,TE,74.13,231,4.72,12,33.5,118,4.24,6.97,0,0,0,1626,97,16.8,17,Y
2016,david grinnage,North Carolina State,TE,77.25,248,4.9,,29.5,106,,,0,0,0,798,67,11.9,9,N
2016,temarrick hemingway,South Carolina State,TE,76.88,244,4.71,18,30.5,115,4.31,6.88,0,0,0,,,,,Y
2016,hunter henry,Arkansas,TE,76.88,250,,13,,,,,1,1,1,1661,116,14.3,9,Y
2016,austin hooper,Stanford,TE,75.75,254,4.72,19,33,117,4.32,7,0,0,0,937,74,12.7,8,Y
2016,ryan malleck,Virginia Tech,TE,76.5,247,,18,34.5,121,4.33,7,0,0,0,658,62,10.6,4,N
2016,jake mcgee,Florida,TE,77.5,250,,17,,,,,0,0,0,1150,112,10.3,11,N
2016,david morgan,Texas-San Antonio,TE,76.13,262,5.02,29,30,115,4.19,6.93,0,0,0,890,72,12.4,6,Y
2016,beau sandland,Montana State,TE,76.5,253,4.74,23,35,124,4.33,7.1,0,0,0,94,9,10.4,1,Y
2016,nick vannett,Ohio State,TE,78,257,,17,30.5,111,4.2,7.05,0,0,0,584,56,10.4,6,Y
2016,bryce williams,East Carolina (NC),TE,77,257,4.94,19,29.5,111,4.53,7.19,0,0,0,1040,96,10.8,13,N
2017,antony auclair,Laval,TE,78,254,,,,,4.45,,0,0,0,,,,,N
2017,pharaoh brown,Oregon,TE,77.63,255,,24,34,,4.62,,0,0,0,1011,70,14.4,13,N
2017,cethan carter,Nebraska,TE,74.75,241,4.68,19,,,4.47,,0,0,0,826,64,12.9,5,N
2017,darrell daniels,Washington,TE,75.13,247,4.55,17,32,116,4.47,7.09,0,0,0,728,47,15.5,5,N
2017,evan engram,Mississippi,TE,75.13,234,4.42,19,36,125,4.23,6.92,0,0,0,2320,162,14.3,15,Y
2017,gerald everett,South Alabama,TE,74.75,239,4.62,22,37.5,126,4.33,6.99,0,0,0,1591,115,13.8,17,Y
2017,cole hikutini,Louisville,TE,76.13,247,,20,,,4.34,,0,0,0,1016,69,14.7,11,N
2017,bucky hodges,Virginia Tech,TE,78.13,257,4.57,18,39,134,4.45,,0,0,0,1836,154,11.9,21,Y
2017,oj howard,Alabama,TE,77.63,251,4.51,22,30,121,4.16,6.85,0,0,0,1726,114,15.1,7,Y
2017,blake jarwin,Oklahoma State,TE,77,248,,,,,4.33,,0,0,0,616,41,15,5,N
2017,george kittle,Iowa,TE,75.75,247,4.52,18,35,132,4.59,,0,0,0,737,48,15.4,10,Y
2017,jordan leggett,Clemson,TE,77,258,,18,33,114,4.33,7.12,0,0,0,1598,112,14.3,18,Y
2017,david njoku,Miami (FL),TE,75.75,246,4.64,21,37.5,133,4.34,6.97,0,0,0,1060,64,16.6,9,Y
2017,scott orndoff,Pittsburgh,TE,76.75,253,4.84,17,27,112,4.45,7.37,0,0,0,897,58,15.5,13,N
2017,hayden plinke,Texas-El Paso,TE,75.75,264,4.97,18,28,109,4.59,7.55,0,0,0,865,76,11.4,8,N
2017,michael roberts,Toledo,TE,76.38,270,4.86,,30,110,4.51,7.05,0,0,0,832,70,11.9,22,Y
2017,eric saubert,Drake (IA),TE,76.63,253,,22,33,121,,,0,0,0,,,,,Y
2017,adam shaheen,Ashland (OH),TE,77.75,278,4.79,24,32.5,121,4.38,7.09,0,0,0,,,,,Y
2017,jonnu smith,Florida International,TE,74.75,248,4.62,22,38,127,4.18,,0,0,0,2006,179,11.2,18,Y
2017,jeremy sprinkle,Arkansas,TE,77,252,4.69,,29,116,4.33,,0,0,0,926,73,12.7,11,Y
2018,mark andrews,Oklahoma,TE,77,256,4.67,17,31,113,4.38,7.34,1,1,1,1765,112,15.8,22,Y
2018,marcus baugh,Ohio State,TE,75,247,4.81,,33,117,4.51,7.28,0,0,0,612,56,10.9,8,N
2018,tyler conklin,Central Michigan,TE,75,254,4.8,18,38,120,4.23,7.13,0,0,0,1159,83,14,11,Y
2018,will dissly,Washington,TE,76,262,4.87,15,28,111,4.4,7.07,0,0,0,336,25,13.4,3,Y
2018,troy fumagalli,Wisconsin,TE,77,247,,14,,,,,0,0,0,1627,135,12.1,7,Y
2018,mike gesicki,Penn State,TE,77,247,4.54,22,41.5,129,4.1,6.76,0,0,0,1481,129,11.5,15,Y
2018,dallas goedert,South Dakota State,TE,77,256,,23,,,,,0,0,0,,,,,Y
2018,chris herndon,Miami (FL),TE,76,253,,21,,,,,0,0,0,1048,86,12.2,7,Y
2018,hayden hurst,South Carolina,TE,76,250,4.67,,31.5,120,4.37,7.19,0,0,0,1320,111,11.9,4,Y
2018,ryan izzo,Florida State,TE,77,256,4.94,18,33,110,4.43,7.15,0,0,0,761,54,14.1,6,Y
2018,jaylen samuels,North Carolina State,TE,71,225,4.54,18,34.5,121,4.28,6.93,0,0,0,2958,383,7.7,47,Y
2018,dalton schultz,Stanford,TE,77,244,4.75,15,32,120,4.4,7,0,0,0,555,55,10.1,5,Y
2018,durham smythe,Notre Dame,TE,77,253,4.81,18,31,110,4.23,7.17,0,0,0,381,28,13.6,6,Y
2018,ian thomas,Indiana,TE,76,259,4.74,,36,123,4.2,7.15,0,0,0,404,28,14.4,5,Y
2018,jordan thomas,Mississippi State,TE,77,265,4.74,16,27,111,4.75,7.5,0,0,0,311,31,10,4,Y
2018,david wells,San Diego State,TE,78,256,4.75,20,33,116,4.59,7.5,0,0,0,449,38,11.8,6,N
